datum,pocet_den,pocet_celkem
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,3,3
2020-03-02,0,3
2020-03-03,2,5
2020-03-04,0,5
2020-03-05,3,8
2020-03-06,11,19
2020-03-07,7,26
2020-03-08,6,32
2020-03-09,6,38
2020-03-10,25,63
2020-03-11,31,94
2020-03-12,22,116
2020-03-13,25,141
2020-03-14,48,189
2020-03-15,109,298
2020-03-16,85,383
2020-03-17,67,450
2020-03-18,110,560
2020-03-19,205,765
2020-03-20,124,889
2020-03-21,158,1047
2020-03-22,114,1161
2020-03-23,126,1287
2020-03-24,185,1472
2020-03-25,291,1763
2020-03-26,259,2022
2020-03-27,373,2395
2020-03-28,262,2657
2020-03-29,160,2817
2020-03-30,184,3001
2020-03-31,307,3308
2020-04-01,281,3589
2020-04-02,269,3858
2020-04-03,332,4190
2020-04-04,282,4472
2020-04-05,115,4587
2020-04-06,235,4822
2020-04-07,195,5017
2020-04-08,295,5312
2020-04-09,257,5569
2020-04-10,163,5732
2020-04-11,170,5902
2020-04-12,89,5991
2020-04-13,68,6059
2020-04-14,82,6141
2020-04-15,160,6301
2020-04-16,132,6433
2020-04-17,116,6549
2020-04-18,105,6654
2020-04-19,92,6746
2020-04-20,154,6900
2020-04-21,133,7033
