pomucka,kraj,mnozstvi
Brýle,CZ010,5137
Brýle,CZ020,380
Brýle,CZ031,922
Brýle,CZ032,924
Brýle,CZ041,60
Brýle,CZ042,1170
Brýle,CZ051,290
Brýle,CZ052,990
Brýle,CZ053,980
Brýle,CZ063,355
Brýle,CZ064,1975
Brýle,CZ071,1635
Brýle,CZ072,860
Brýle,CZ080,2032
"Dezinfekce (l)",CZ010,8694
"Dezinfekce (l)",CZ020,810
"Dezinfekce (l)",CZ031,1225
"Dezinfekce (l)",CZ032,5240
"Dezinfekce (l)",CZ041,1190
"Dezinfekce (l)",CZ042,1815
"Dezinfekce (l)",CZ051,1020
"Dezinfekce (l)",CZ052,2325
"Dezinfekce (l)",CZ053,665
"Dezinfekce (l)",CZ063,1095
"Dezinfekce (l)",CZ064,7360
"Dezinfekce (l)",CZ071,2625
"Dezinfekce (l)",CZ072,865
"Dezinfekce (l)",CZ080,2778
Roušky,CZ010,4097139
Roušky,CZ020,627470
Roušky,CZ031,398178
Roušky,CZ032,784000
Roušky,CZ041,177125
Roušky,CZ042,483028
Roušky,CZ051,306506
Roušky,CZ052,700917
Roušky,CZ053,313947
Roušky,CZ063,325395
Roušky,CZ064,1576927
Roušky,CZ071,725931
Roušky,CZ072,347629
Roušky,CZ080,953474
Respirátory,CZ010,1267620
Respirátory,CZ020,166822
Respirátory,CZ031,112416
Respirátory,CZ032,143495
Respirátory,CZ041,53135
Respirátory,CZ042,139284
Respirátory,CZ051,87149
Respirátory,CZ052,132971
Respirátory,CZ053,88738
Respirátory,CZ063,89461
Respirátory,CZ064,322076
Respirátory,CZ071,163076
Respirátory,CZ072,105333
Respirátory,CZ080,219039
"Odběrové sady",CZ010,28801
"Odběrové sady",CZ020,600
"Odběrové sady",CZ031,1300
"Odběrové sady",CZ032,3100
"Odběrové sady",CZ041,0
"Odběrové sady",CZ042,2100
"Odběrové sady",CZ051,10499
"Odběrové sady",CZ052,2000
"Odběrové sady",CZ053,1000
"Odběrové sady",CZ063,1000
"Odběrové sady",CZ064,28400
"Odběrové sady",CZ071,9000
"Odběrové sady",CZ072,1800
"Odběrové sady",CZ080,12000
Rukavice,CZ010,620198
Rukavice,CZ020,184952
Rukavice,CZ031,102198
Rukavice,CZ032,138184
Rukavice,CZ041,52279
Rukavice,CZ042,145953
Rukavice,CZ051,86669
Rukavice,CZ052,190134
Rukavice,CZ053,94184
Rukavice,CZ063,95207
Rukavice,CZ064,220353
Rukavice,CZ071,154518
Rukavice,CZ072,123873
Rukavice,CZ080,244628
Rychlotesty,CZ010,33006
Rychlotesty,CZ020,22469
Rychlotesty,CZ031,8793
Rychlotesty,CZ032,7552
Rychlotesty,CZ041,8483
Rychlotesty,CZ042,9621
Rychlotesty,CZ051,6310
Rychlotesty,CZ052,7469
Rychlotesty,CZ053,7138
Rychlotesty,CZ063,6393
Rychlotesty,CZ064,12724
Rychlotesty,CZ071,34586
Rychlotesty,CZ072,6428
Rychlotesty,CZ080,15103
Štíty,CZ010,4903
Štíty,CZ020,57
Štíty,CZ031,586
Štíty,CZ032,432
Štíty,CZ041,60
Štíty,CZ042,1490
Štíty,CZ051,225
Štíty,CZ052,335
Štíty,CZ053,1180
Štíty,CZ063,95
Štíty,CZ064,2614
Štíty,CZ071,1235
Štíty,CZ072,410
Štíty,CZ080,903
Tampóny,CZ010,5000
Tampóny,CZ020,200
Tampóny,CZ031,300
Tampóny,CZ032,300
Tampóny,CZ041,2300
Tampóny,CZ042,400
Tampóny,CZ051,10300
Tampóny,CZ052,300
Tampóny,CZ053,300
Tampóny,CZ063,2600
Tampóny,CZ064,300
Tampóny,CZ071,1200
Tampóny,CZ072,300
Tampóny,CZ080,4900
"Ochranné oděvy",CZ010,109841
"Ochranné oděvy",CZ020,10570
"Ochranné oděvy",CZ031,6569
"Ochranné oděvy",CZ032,19035
"Ochranné oděvy",CZ041,2609
"Ochranné oděvy",CZ042,6719
"Ochranné oděvy",CZ051,4800
"Ochranné oděvy",CZ052,17159
"Ochranné oděvy",CZ053,6402
"Ochranné oděvy",CZ063,5600
"Ochranné oděvy",CZ064,41011
"Ochranné oděvy",CZ071,12745
"Ochranné oděvy",CZ072,6349
"Ochranné oděvy",CZ080,19546
"Návleky na obuv",CZ010,4530
"Návleky na obuv",CZ020,50
"Návleky na obuv",CZ031,270
"Návleky na obuv",CZ032,18200
"Návleky na obuv",CZ041,1000
"Návleky na obuv",CZ042,0
"Návleky na obuv",CZ051,1050
"Návleky na obuv",CZ052,0
"Návleky na obuv",CZ053,1250
"Návleky na obuv",CZ063,9300
"Návleky na obuv",CZ064,417
"Návleky na obuv",CZ071,2050
"Návleky na obuv",CZ072,100
"Návleky na obuv",CZ080,1232
Polomasky,CZ010,1554
Polomasky,CZ020,0
Polomasky,CZ031,0
Polomasky,CZ032,150
Polomasky,CZ041,0
Polomasky,CZ042,0
Polomasky,CZ051,0
Polomasky,CZ052,200
Polomasky,CZ053,0
Polomasky,CZ063,0
Polomasky,CZ064,436
Polomasky,CZ071,200
Polomasky,CZ072,0
Polomasky,CZ080,250
"Filtry k polomaskám",CZ010,3105
"Filtry k polomaskám",CZ020,0
"Filtry k polomaskám",CZ031,0
"Filtry k polomaskám",CZ032,300
"Filtry k polomaskám",CZ041,0
"Filtry k polomaskám",CZ042,0
"Filtry k polomaskám",CZ051,0
"Filtry k polomaskám",CZ052,400
"Filtry k polomaskám",CZ053,0
"Filtry k polomaskám",CZ063,0
"Filtry k polomaskám",CZ064,872
"Filtry k polomaskám",CZ071,400
"Filtry k polomaskám",CZ072,0
"Filtry k polomaskám",CZ080,500
