datum,testy_den,testy_celkem
2020-01-27,20,20
2020-01-28,8,28
2020-01-29,5,33
2020-01-30,1,34
2020-01-31,3,37
2020-02-01,1,38
2020-02-02,5,43
2020-02-03,5,48
2020-02-04,5,53
2020-02-05,0,53
2020-02-06,3,56
2020-02-07,6,62
2020-02-08,0,62
2020-02-09,2,64
2020-02-10,8,72
2020-02-11,2,74
2020-02-12,1,75
2020-02-13,1,76
2020-02-14,0,76
2020-02-15,1,77
2020-02-16,1,78
2020-02-17,2,80
2020-02-18,0,80
2020-02-19,2,82
2020-02-20,0,82
2020-02-21,0,82
2020-02-22,1,83
2020-02-23,3,86
2020-02-24,12,98
2020-02-25,14,112
2020-02-26,23,135
2020-02-27,35,170
2020-02-28,23,193
2020-02-29,7,200
2020-03-01,11,211
2020-03-02,51,262
2020-03-03,78,340
2020-03-04,67,407
2020-03-05,76,483
2020-03-06,111,594
2020-03-07,193,787
2020-03-08,141,928
2020-03-09,265,1193
2020-03-10,165,1358
2020-03-11,458,1816
2020-03-12,537,2353
2020-03-13,845,3198
2020-03-14,986,4184
2020-03-15,1028,5212
2020-03-16,1319,6531
2020-03-17,1294,7825
2020-03-18,1756,9581
2020-03-19,2259,11840
2020-03-20,2121,13961
2020-03-21,1882,15843
2020-03-22,1801,17644
2020-03-23,2291,19935
2020-03-24,3062,22997
2020-03-25,4107,27104
2020-03-26,4633,31737
2020-03-27,5359,37096
2020-03-28,4224,41320
2020-03-29,2848,44168
2020-03-30,5159,49327
2020-03-31,6661,55988
2020-04-01,6102,62090
2020-04-02,6673,68763
2020-04-03,7398,76161
2020-04-04,5837,81998
2020-04-05,4812,86810
2020-04-06,6435,93245
2020-04-07,8173,101418
2020-04-08,8469,109887
2020-04-09,8180,118067
2020-04-10,5702,123769
2020-04-11,4891,128660
2020-04-12,3250,131910
2020-04-13,3215,135125
2020-04-14,6173,141298
2020-04-15,8476,149774
2020-04-16,8381,158155
2020-04-17,8288,166443
2020-04-18,5605,172048
2020-04-19,4027,176075
2020-04-20,6567,182642
2020-04-21,8341,190983
2020-04-22,8818,199801
2020-04-23,7901,207702
2020-04-24,7129,214831
2020-04-25,4446,219277
2020-04-26,3381,222658
2020-04-27,7754,230412
2020-04-28,8741,239153
2020-04-29,7322,246475
2020-04-30,7396,253871
2020-05-01,4413,258284
2020-05-02,3880,262164
2020-05-03,3881,266045
2020-05-04,7627,273672
2020-05-05,9447,283119
2020-05-06,8083,291202
2020-05-07,7582,298784
2020-05-08,4557,303341
2020-05-09,3782,307123
2020-05-10,4051,311174
2020-05-11,7805,318979
2020-05-12,8709,327688
2020-05-13,7687,335375
2020-05-14,6887,342262
2020-05-15,6703,348965
2020-05-16,4258,353223
2020-05-17,3494,356717
2020-05-18,7398,364115
2020-05-19,8342,372457
2020-05-20,7521,379978
2020-05-21,7149,387127
