wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;8593;2.24;143;39;104;656;185321;34297;9232;24187;878;t00;2020-12-19
dolnośląskie;486;1.68;8;0;8;19;12505;2215;512;1676;27;t02;2020-12-19
kujawsko-pomorskie;793;3.83;13;1;12;154;15395;2468;828;1564;76;t04;2020-12-19
lubelskie;303;1.44;20;5;15;20;9192;1228;325;886;17;t06;2020-12-19
lubuskie;319;3.16;1;1;0;7;5985;1038;335;666;37;t08;2020-12-19
łódzkie;449;1.83;9;1;8;28;11294;1970;481;1446;43;t10;2020-12-19
małopolskie;311;0.91;1;0;1;9;7131;1713;342;1318;53;t12;2020-12-19
mazowieckie;1114;2.05;17;5;12;54;28259;5352;1203;4022;127;t14;2020-12-19
opolskie;177;1.8;1;0;1;17;4278;922;199;707;16;t16;2020-12-19
podkarpackie;146;0.69;10;0;10;12;5050;844;171;656;17;t18;2020-12-19
podlaskie;180;1.53;9;5;4;6;4953;828;195;606;27;t20;2020-12-19
pomorskie;824;3.51;3;0;3;60;16215;3200;875;2149;176;t22;2020-12-19
śląskie;700;1.55;17;2;15;72;14698;2807;755;2002;50;t24;2020-12-19
świętokrzyskie;129;1.05;1;0;1;2;2777;794;171;593;30;t26;2020-12-19
warmińsko-mazurskie;621;4.37;1;0;1;64;12243;1487;648;796;43;t28;2020-12-19
wielkopolskie;1162;3.32;24;19;5;62;20934;3686;1223;2403;60;t30;2020-12-19
zachodniopomorskie;782;4.62;8;0;8;70;14409;2342;851;1430;61;t32;2020-12-19
