wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;13114;3.42;552;190;362;15080;8002;188151;55581;14543;39730;1308;t00
dolnoœl¹skie;742;2.56;26;18;8;832;549;12025;3379;860;2461;58;t02
kujawsko-pomorskie;1312;6.34;38;2;36;1406;848;16578;4649;1399;3106;144;t04
lubelskie;597;2.84;72;44;28;786;477;9320;2282;647;1588;47;t06
lubuskie;399;3.95;7;5;2;394;245;5862;1304;448;814;42;t08
³ódzkie;950;3.88;51;10;41;1094;617;12065;3741;1059;2595;87;t10
ma³opolskie;410;1.20;43;32;11;584;288;6678;2959;463;2425;71;t12
mazowieckie;1829;3.37;53;11;42;2331;957;28615;10132;2218;7610;304;t14
opolskie;280;2.85;14;3;11;259;148;4040;1207;304;885;18;t16
podkarpackie;288;1.35;21;3;18;286;208;4798;1871;376;1465;30;t18
podlaskie;325;2.76;11;2;9;426;187;5155;1290;347;916;27;t20
pomorskie;1108;4.72;18;4;14;1253;624;16963;4146;1186;2848;112;t22
œl¹skie;1002;2.22;42;4;38;1457;678;14918;4273;1098;3087;88;t24
œwiêtokrzyskie;165;1.34;13;;13;214;211;2702;1008;191;775;42;t26
warmiñsko-mazurskie;838;5.90;33;3;30;1028;652;12699;2366;864;1448;54;t28
wielkopolskie;1608;4.59;83;48;35;1583;673;20602;5464;1699;3671;94;t30
zachodniopomorskie;1006;5.94;27;1;26;1142;533;15086;2861;1090;1708;63;t32
