wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;14578;3.80;65;11;54;1029;19320;351928;49135;15547;32625;963;t00;2021-03-21
dolnoœl¹skie;1215;4.19;0;0;0;54;1503;25350;3419;1292;2072;55;t02;2021-03-21
kujawsko-pomorskie;704;3.40;8;1;7;142;1042;18698;2385;739;1612;34;t04;2021-03-21
lubelskie;181;0.86;0;0;0;38;579;12661;1386;207;1172;7;t06;2021-03-21
lubuskie;495;4.90;0;0;0;12;620;10299;2081;532;1534;15;t08;2021-03-21
³ódzkie;862;3.52;2;0;2;49;1038;19282;3285;990;2272;23;t10;2021-03-21
ma³opolskie;1207;3.54;5;3;2;58;1386;27651;3689;1262;2332;95;t12;2021-03-21
mazowieckie;2899;5.34;12;2;10;202;3623;62670;8282;3054;5001;227;t14;2021-03-21
opolskie;240;2.45;0;0;0;15;256;7087;1416;254;1154;8;t16;2021-03-21
podkarpackie;669;3.15;0;0;0;55;964;20971;2124;727;1367;30;t18;2021-03-21
podlaskie;167;1.42;2;0;2;4;398;7304;683;184;493;6;t20;2021-03-21
pomorskie;1231;5.25;10;0;10;23;1457;27756;3988;1308;2577;103;t22;2021-03-21
œl¹skie;1859;4.12;4;0;4;183;2414;43395;5403;1963;3306;134;t24;2021-03-21
œwiêtokrzyskie;429;3.49;0;0;0;21;503;7922;1569;462;1022;85;t26;2021-03-21
warmiñsko-mazurskie;310;2.18;0;0;0;32;1008;14975;1094;328;758;8;t28;2021-03-21
wielkopolskie;1355;3.87;21;5;16;112;1860;33719;4086;1429;2583;74;t30;2021-03-21
zachodniopomorskie;517;3.05;1;0;1;29;533;12085;2178;559;1589;30;t32;2021-03-21
