"wojewodztwo";"liczba_nowych_zakazen";"liczba_ponownych_zakazen";"liczba_wszystkich_zakazen";"liczba_nowych_zakazen_na_10_tys_mieszkancow";"liczba_ponownych_zakazen_na_10_tys_mieszkancow";"liczba_wszystkich_zakazen_na_10_tys_mieszkancow";"zgony";"zgony_w_wyniku_covid_bez_chorob_wspolistniejacych";"zgony_w_wyniku_covid_i_chorob_wspolistniejacych";"liczba_zlecen_poz";"liczba_ozdrowiencow";"liczba_osob_objetych_kwarantanna";"liczba_wykonanych_testow";"liczba_testow_z_wynikiem_pozytywnym";"liczba_testow_z_wynikiem_negatywnym";"liczba_pozostalych_testow";"teryt";"stan_rekordu_na"
"Ca³y kraj";"31986";"3974";"35960";"8.34";"1.04";"9.38";"286";"83";"203";"58112";"52526";"550851";"138531";"38504";"97598";"2429";"t00";"2022-02-07"
"dolnoœl¹skie";"2746";"299";"3045";"9.47";"1.03";"10.51";"25";"19";"6";"4012";"5055";"35830";"9954";"3288";"6377";"289";"t02";"2022-02-07"
"kujawsko-pomorskie";"2357";"380";"2737";"11.39";"1.84";"13.23";"14";"3";"11";"4972";"2717";"38389";"8707";"2880";"5655";"172";"t04";"2022-02-07"
"lubelskie";"2174";"288";"2462";"10.34";"1.37";"11.71";"20";"9";"11";"3594";"2552";"29409";"8826";"2624";"6121";"81";"t06";"2022-02-07"
"lubuskie";"728";"85";"813";"7.21";"0.84";"8.05";"4";"1";"3";"2075";"819";"17711";"3465";"860";"2535";"70";"t08";"2022-02-07"
"³ódzkie";"2302";"293";"2595";"9.40";"1.20";"10.60";"13";"5";"8";"3565";"3307";"36889";"10071";"2788";"7130";"153";"t10";"2022-02-07"
"ma³opolskie";"1735";"174";"1909";"5.08";"0.51";"5.59";"40";"14";"26";"3429";"3713";"40149";"8182";"2094";"5863";"225";"t12";"2022-02-07"
"mazowieckie";"4454";"471";"4925";"8.21";"0.87";"9.07";"27";"4";"23";"6544";"7746";"73729";"22328";"5345";"16603";"380";"t14";"2022-02-07"
"opolskie";"485";"53";"538";"4.95";"0.54";"5.49";"13";"0";"13";"1422";"1859";"12980";"2790";"584";"2161";"45";"t16";"2022-02-07"
"podkarpackie";"923";"104";"1027";"4.34";"0.49";"4.83";"5";"1";"4";"1830";"2445";"24281";"5734";"1132";"4557";"45";"t18";"2022-02-07"
"podlaskie";"856";"106";"962";"7.28";"0.90";"8.18";"7";"1";"6";"1769";"926";"11547";"3675";"1020";"2612";"43";"t20";"2022-02-07"
"pomorskie";"2173";"298";"2471";"9.26";"1.27";"10.53";"22";"2";"20";"3761";"4425";"41011";"9149";"2623";"6323";"203";"t22";"2022-02-07"
"œl¹skie";"3094";"371";"3465";"6.86";"0.82";"7.69";"50";"13";"37";"6360";"8241";"68490";"13531";"3729";"9515";"287";"t24";"2022-02-07"
"œwiêtokrzyskie";"975";"109";"1084";"7.93";"0.89";"8.81";"9";"1";"8";"1792";"902";"15338";"3876";"1160";"2658";"58";"t26";"2022-02-07"
"warmiñsko-mazurskie";"1615";"272";"1887";"11.37";"1.91";"13.28";"20";"9";"11";"2732";"1464";"14891";"6356";"1992";"4314";"50";"t28";"2022-02-07"
"wielkopolskie";"3554";"432";"3986";"10.15";"1.23";"11.39";"15";"1";"14";"7181";"4060";"70212";"12903";"4169";"8533";"201";"t30";"2022-02-07"
"zachodniopomorskie";"1618";"232";"1850";"9.56";"1.37";"10.93";"2";"0";"2";"2968";"2209";"19859";"6900";"1997";"4795";"108";"t32";"2022-02-07"
