wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;7;0;0;0;t0;0;0;0;0;7;0
dolnoœl¹skie;4655801;103;1564894;2;t02;1807002;1;13222;0;1270683;100
kujawsko-pomorskie;3135200;53;1056278;0;t04;1223413;0;10392;0;845117;53
lubelskie;2616779;48;918635;0;t06;1057760;1;11721;0;628663;47
lubuskie;1608451;29;541403;1;t08;647462;2;5018;0;414568;26
³ódzkie;3760967;96;1295940;2;t10;1471044;6;15339;0;978644;88
ma³opolskie;4805898;151;1669637;5;t12;1908659;3;12478;0;1215124;143
mazowieckie;9259957;530;3126604;36;t14;3585200;45;33470;0;2514683;449
opolskie;1337633;37;466353;0;t16;532067;1;4503;0;334710;36
podkarpackie;2303910;58;837227;2;t18;973245;4;7094;0;486344;52
podlaskie;1587210;47;566695;0;t20;653985;6;5628;0;360902;41
pomorskie;3857105;164;1305062;18;t22;1498256;2;12976;1;1040811;143
œl¹skie;6831152;169;2318867;3;t24;2666533;3;17749;0;1828003;163
œwiêtokrzyskie;1612543;22;562897;0;t26;652300;0;5150;0;392196;22
warmiñsko-mazurskie;2005220;43;685952;0;t28;788125;0;8926;0;522217;43
wielkopolskie;5794445;189;1934978;7;t30;2338071;8;18681;1;1502715;173
zachodniopomorskie;2697936;87;901978;1;t32;1063525;3;9595;0;722838;83
ca³y kraj;57870214;1826;19753400;77;t00;22866647;85;191942;2;15058225;1662
