country,nuts_2,cases,datetime
CH,NW,0,2020-03-06T00:00:00
CH,OW,0,2020-03-06T00:00:00
CH,SH,0,2020-03-06T00:00:00
CH,UR,0,2020-03-06T00:00:00
CH,GL,0,2020-03-06T00:00:00
CH,AI,0,2020-03-06T00:00:00
CH,AR,1,2020-03-06T00:00:00
CH,TG,1,2020-03-06T00:00:00
CH,JU,1,2020-03-06T00:00:00
CH,SG,1,2020-03-06T00:00:00
CH,SO,1,2020-03-06T00:00:00
CH,LU,2,2020-03-06T00:00:00
CH,VS,4,2020-03-06T00:00:00
CH,ZG,5,2020-03-06T00:00:00
CH,FR,7,2020-03-06T00:00:00
CH,SZ,7,2020-03-06T00:00:00
CH,NE,8,2020-03-06T00:00:00
CH,BL,9,2020-03-06T00:00:00
CH,AG,10,2020-03-06T00:00:00
CH,GR,13,2020-03-06T00:00:00
CH,GE,15,2020-03-06T00:00:00
CH,BS,17,2020-03-06T00:00:00
CH,BE,20,2020-03-06T00:00:00
CH,VD,23,2020-03-06T00:00:00
CH,ZH,24,2020-03-06T00:00:00
CH,TI,37,2020-03-06T00:00:00
CH,NW,0,2020-03-07T00:00:00
CH,OW,0,2020-03-07T00:00:00
CH,SH,0,2020-03-07T00:00:00
CH,UR,0,2020-03-07T00:00:00
CH,GL,0,2020-03-07T00:00:00
CH,AI,0,2020-03-07T00:00:00
CH,AR,1,2020-03-07T00:00:00
CH,TG,1,2020-03-07T00:00:00
CH,SG,1,2020-03-07T00:00:00
CH,SO,1,2020-03-07T00:00:00
CH,JU,3,2020-03-07T00:00:00
CH,LU,4,2020-03-07T00:00:00
CH,VS,5,2020-03-07T00:00:00
CH,ZG,6,2020-03-07T00:00:00
CH,FR,7,2020-03-07T00:00:00
CH,SZ,7,2020-03-07T00:00:00
CH,NE,11,2020-03-07T00:00:00
CH,BL,13,2020-03-07T00:00:00
CH,AG,14,2020-03-07T00:00:00
CH,GR,15,2020-03-07T00:00:00
CH,BS,22,2020-03-07T00:00:00
CH,GE,24,2020-03-07T00:00:00
CH,BE,25,2020-03-07T00:00:00
