country,nuts_3,cases,datetime
CZ,Liberecký kraj,4,2020-03-13T00:00:00
CZ,Karlovarský kraj,11,2020-03-13T00:00:00
CZ,Zlínský kraj,18,2020-03-13T00:00:00
CZ,Jihomoravský kraj,29,2020-03-13T00:00:00
CZ,Olomoucký kraj,37,2020-03-13T00:00:00
CZ,Moravskoslezský kraj,41,2020-03-13T00:00:00
CZ,Pardubický kraj,66,2020-03-13T00:00:00
CZ,Kraj Vysočina,76,2020-03-13T00:00:00
CZ,Plzeňský kraj,89,2020-03-13T00:00:00
CZ,Královéhradecký kraj,99,2020-03-13T00:00:00
CZ,Středočeský kraj,112,2020-03-13T00:00:00
CZ,Ústecký kraj,152,2020-03-13T00:00:00
CZ,Jihočeský kraj,298,2020-03-13T00:00:00
CZ,Hlavní město Praha,614,2020-03-13T00:00:00
CZ,Liberecký kraj,8,2020-03-20T17:55:00
CZ,Kraj Vysočina,9,2020-03-20T17:55:00
CZ,Královéhradecký kraj,14,2020-03-20T17:55:00
CZ,Plzeňský kraj,17,2020-03-20T17:55:00
CZ,Pardubický kraj,19,2020-03-20T17:55:00
CZ,Jihočeský kraj,22,2020-03-20T17:55:00
CZ,Karlovarský kraj,27,2020-03-20T17:55:00
CZ,Ústecký kraj,36,2020-03-20T17:55:00
CZ,Zlínský kraj,47,2020-03-20T17:55:00
CZ,Jihomoravský kraj,59,2020-03-20T17:55:00
CZ,Olomoucký kraj,60,2020-03-20T17:55:00
CZ,Moravskoslezský kraj,74,2020-03-20T17:55:00
CZ,Středočeský kraj,108,2020-03-20T17:55:00
CZ,Hlavní město Praha,124,2020-03-20T17:55:00
CZ,Liberecký kraj,9,2020-03-21T08:59:00
CZ,Kraj Vysočina,9,2020-03-21T08:59:00
CZ,Královéhradecký kraj,15,2020-03-21T08:59:00
CZ,Plzeňský kraj,17,2020-03-21T08:59:00
CZ,Pardubický kraj,21,2020-03-21T08:59:00
CZ,Jihočeský kraj,27,2020-03-21T08:59:00
CZ,Karlovarský kraj,29,2020-03-21T08:59:00
CZ,Ústecký kraj,36,2020-03-21T08:59:00
CZ,Zlínský kraj,47,2020-03-21T08:59:00
CZ,Jihomoravský kraj,59,2020-03-21T08:59:00
CZ,Olomoucký kraj,64,2020-03-21T08:59:00
CZ,Moravskoslezský kraj,76,2020-03-21T08:59:00
CZ,Středočeský kraj,108,2020-03-21T08:59:00
CZ,Hlavní město Praha,124,2020-03-21T08:59:00
CZ,Liberecký kraj,9,2020-03-21T12:11:00
CZ,Kraj Vysočina,9,2020-03-21T12:11:00
CZ,Královéhradecký kraj,15,2020-03-21T12:11:00
CZ,Plzeňský kraj,17,2020-03-21T12:11:00
CZ,Pardubický kraj,21,2020-03-21T12:11:00
CZ,Jihočeský kraj,27,2020-03-21T12:11:00
CZ,Karlovarský kraj,29,2020-03-21T12:11:00
CZ,Ústecký kraj,36,2020-03-21T12:11:00
CZ,Zlínský kraj,47,2020-03-21T12:11:00
CZ,Jihomoravský kraj,59,2020-03-21T12:11:00
CZ,Olomoucký kraj,66,2020-03-21T12:11:00
CZ,Moravskoslezský kraj,77,2020-03-21T12:11:00
CZ,Středočeský kraj,109,2020-03-21T12:11:00
CZ,Hlavní město Praha,125,2020-03-21T12:11:00
CZ,Liberecký kraj,9,2020-03-21T17:55:00
CZ,Kraj Vysočina,9,2020-03-21T17:55:00
CZ,Královéhradecký kraj,15,2020-03-21T17:55:00
CZ,Plzeňský kraj,17,2020-03-21T17:55:00
CZ,Pardubický kraj,22,2020-03-21T17:55:00
CZ,Jihočeský kraj,30,2020-03-21T17:55:00
CZ,Karlovarský kraj,32,2020-03-21T17:55:00
CZ,Ústecký kraj,36,2020-03-21T17:55:00
CZ,Zlínský kraj,51,2020-03-21T17:55:00
CZ,Jihomoravský kraj,66,2020-03-21T17:55:00
CZ,Olomoucký kraj,68,2020-03-21T17:55:00
CZ,Moravskoslezský kraj,79,2020-03-21T17:55:00
CZ,Středočeský kraj,118,2020-03-21T17:55:00
