country,cases,deaths,deaths/100k pop.,datetime
LI,25,0,,2020-03-19T00:00:00
LT,33,0,,2020-03-19T00:00:00
MT,48,0,,2020-03-19T00:00:00
CY,58,0,,2020-03-19T00:00:00
LV,71,0,,2020-03-19T00:00:00
HU,73,1,,2020-03-19T00:00:00
HR,81,0,,2020-03-19T00:00:00
BG,92,2,,2020-03-19T00:00:00
SK,107,0,,2020-03-19T00:00:00
LU,210,2,,2020-03-19T00:00:00
IS,250,0,,2020-03-19T00:00:00
EE,258,0,,2020-03-19T00:00:00
RO,260,0,,2020-03-19T00:00:00
SI,286,1,,2020-03-19T00:00:00
PL,287,5,,2020-03-19T00:00:00
IE,366,2,,2020-03-19T00:00:00
FI,369,0,,2020-03-19T00:00:00
GR,418,5,,2020-03-19T00:00:00
CZ,522,0,,2020-03-19T00:00:00
PT,642,2,,2020-03-19T00:00:00
DK,1115,4,,2020-03-19T00:00:00
SE,1301,10,,2020-03-19T00:00:00
NO,1423,3,,2020-03-19T00:00:00
BE,1486,14,,2020-03-19T00:00:00
AT,1646,4,,2020-03-19T00:00:00
NL,2051,58,,2020-03-19T00:00:00
GB,2630,103,,2020-03-19T00:00:00
DE,8198,13,,2020-03-19T00:00:00
FR,9134,244,,2020-03-19T00:00:00
ES,13716,598,,2020-03-19T00:00:00
IT,35713,2978,,2020-03-19T00:00:00
Total,82869,4049,,2020-03-19T00:00:00
LI,25,0,,2020-03-20T00:00:00
LT,48,0,,2020-03-20T00:00:00
MT,53,0,,2020-03-20T00:00:00
CY,58,0,,2020-03-20T00:00:00
HU,85,1,,2020-03-20T00:00:00
LV,86,0,,2020-03-20T00:00:00
HR,104,1,,2020-03-20T00:00:00
BG,105,3,,2020-03-20T00:00:00
SK,123,0,,2020-03-20T00:00:00
EE,267,0,,2020-03-20T00:00:00
RO,277,0,,2020-03-20T00:00:00
SI,319,1,,2020-03-20T00:00:00
IS,330,1,,2020-03-20T00:00:00
LU,345,4,,2020-03-20T00:00:00
PL,355,5,,2020-03-20T00:00:00
FI,400,0,,2020-03-20T00:00:00
GR,464,5,,2020-03-20T00:00:00
IE,557,3,,2020-03-20T00:00:00
CZ,694,0,,2020-03-20T00:00:00
PT,785,3,,2020-03-20T00:00:00
DK,1151,6,,2020-03-20T00:00:00
SE,1423,10,,2020-03-20T00:00:00
NO,1552,6,,2020-03-20T00:00:00
BE,1795,21,,2020-03-20T00:00:00
AT,2196,6,,2020-03-20T00:00:00
NL,2460,76,,2020-03-20T00:00:00
GB,3277,144,,2020-03-20T00:00:00
FR,10995,372,,2020-03-20T00:00:00
DE,14138,43,,2020-03-20T00:00:00
ES,17147,767,,2020-03-20T00:00:00
IT,41035,3407,,2020-03-20T00:00:00
Total,102649,4885,,2020-03-20T00:00:00
LI,34,0,,2020-03-21T00:00:00
MT,64,0,,2020-03-21T00:00:00
CY,67,0,,2020-03-21T00:00:00
LT,69,1,,2020-03-21T00:00:00
HU,85,4,,2020-03-21T00:00:00
LV,111,0,,2020-03-21T00:00:00
HR,126,1,,2020-03-21T00:00:00
BG,127,3,,2020-03-21T00:00:00
SK,137,0,,2020-03-21T00:00:00
EE,283,0,,2020-03-21T00:00:00
RO,308,0,,2020-03-21T00:00:00
SI,341,1,,2020-03-21T00:00:00
IS,409,1,,2020-03-21T00:00:00
PL,425,5,,2020-03-21T00:00:00
FI,450,0,,2020-03-21T00:00:00
LU,484,5,,2020-03-21T00:00:00
GR,495,8,,2020-03-21T00:00:00
IE,683,3,,2020-03-21T00:00:00
CZ,904,0,,2020-03-21T00:00:00
PT,1020,6,,2020-03-21T00:00:00
DK,1255,9,,2020-03-21T00:00:00
SE,1623,16,,2020-03-21T00:00:00
NO,1742,7,,2020-03-21T00:00:00
BE,2257,37,,2020-03-21T00:00:00
AT,2649,6,,2020-03-21T00:00:00
NL,2994,106,,2020-03-21T00:00:00
GB,3983,177,,2020-03-21T00:00:00
FR,12612,450,,2020-03-21T00:00:00
DE,18323,45,,2020-03-21T00:00:00
ES,19980,1002,,2020-03-21T00:00:00
IT,47021,4032,,2020-03-21T00:00:00
Total,121061,5925,,2020-03-21T00:00:00
LI,36,0,,2020-03-22T00:00:00
MT,73,0,,2020-03-22T00:00:00
CY,84,0,,2020-03-22T00:00:00
LT,105,1,,2020-03-22T00:00:00
LV,124,0,,2020-03-22T00:00:00
HU,131,4,,2020-03-22T00:00:00
BG,163,3,,2020-03-22T00:00:00
SK,178,0,,2020-03-22T00:00:00
HR,206,1,,2020-03-22T00:00:00
EE,306,0,,2020-03-22T00:00:00
RO,367,0,,2020-03-22T00:00:00
SI,383,1,,2020-03-22T00:00:00
IS,473,1,,2020-03-22T00:00:00
FI,521,1,,2020-03-22T00:00:00
GR,530,13,,2020-03-22T00:00:00
PL,536,5,,2020-03-22T00:00:00
LU,670,8,,2020-03-22T00:00:00
IE,785,3,,2020-03-22T00:00:00
CZ,995,0,,2020-03-22T00:00:00
PT,1280,12,,2020-03-22T00:00:00
DK,1326,13,,2020-03-22T00:00:00
SE,1746,20,,2020-03-22T00:00:00
NO,1926,7,,2020-03-22T00:00:00
BE,2815,67,,2020-03-22T00:00:00
AT,3024,8,,2020-03-22T00:00:00
NL,3631,136,,2020-03-22T00:00:00
GB,5018,233,,2020-03-22T00:00:00
FR,14459,562,,2020-03-22T00:00:00
DE,21463,67,,2020-03-22T00:00:00
ES,24926,1326,,2020-03-22T00:00:00
IT,53578,4827,,2020-03-22T00:00:00
Total,141858,7319,,2020-03-22T00:00:00
LI,46,0,,2020-03-23T00:00:00
MT,90,0,,2020-03-23T00:00:00
CY,95,0,,2020-03-23T00:00:00
LV,139,0,,2020-03-23T00:00:00
LT,143,1,,2020-03-23T00:00:00
HU,167,7,,2020-03-23T00:00:00
SK,185,0,,2020-03-23T00:00:00
BG,185,3,,2020-03-23T00:00:00
HR,235,1,,2020-03-23T00:00:00
EE,326,0,,2020-03-23T00:00:00
SI,414,1,,2020-03-23T00:00:00
RO,433,2,,2020-03-23T00:00:00
IS,568,1,,2020-03-23T00:00:00
GR,624,15,,2020-03-23T00:00:00
FI,626,1,,2020-03-23T00:00:00
PL,634,7,,2020-03-23T00:00:00
LU,798,8,,2020-03-23T00:00:00
IE,906,4,,2020-03-23T00:00:00
CZ,1165,1,,2020-03-23T00:00:00
DK,1395,13,,2020-03-23T00:00:00
PT,1600,14,,2020-03-23T00:00:00
SE,1906,21,,2020-03-23T00:00:00
NO,2132,7,,2020-03-23T00:00:00
BE,3401,75,,2020-03-23T00:00:00
AT,3631,16,,2020-03-23T00:00:00
NL,4204,179,,2020-03-23T00:00:00
GB,5683,281,,2020-03-23T00:00:00
FR,16018,674,,2020-03-23T00:00:00
DE,24774,94,,2020-03-23T00:00:00
ES,28572,1720,,2020-03-23T00:00:00
IT,59138,5476,,2020-03-23T00:00:00
Total,160233,8622,,2020-03-23T00:00:00
LI,46,0,,2020-03-24T00:00:00
MT,107,0,,2020-03-24T00:00:00
CY,116,0,,2020-03-24T00:00:00
LT,179,1,,2020-03-24T00:00:00
LV,180,0,,2020-03-24T00:00:00
HU,187,8,,2020-03-24T00:00:00
SK,191,0,,2020-03-24T00:00:00
BG,201,3,,2020-03-24T00:00:00
HR,306,0,,2020-03-24T00:00:00
EE,352,0,,2020-03-24T00:00:00
SI,442,1,,2020-03-24T00:00:00
RO,576,7,,2020-03-24T00:00:00
IS,588,2,,2020-03-24T00:00:00
GR,695,17,,2020-03-24T00:00:00
FI,700,1,,2020-03-24T00:00:00
PL,749,8,,2020-03-24T00:00:00
LU,875,8,,2020-03-24T00:00:00
IE,1125,6,,2020-03-24T00:00:00
CZ,1236,1,,2020-03-24T00:00:00
DK,1460,24,,2020-03-24T00:00:00
SE,2016,25,,2020-03-24T00:00:00
PT,2060,23,,2020-03-24T00:00:00
NO,2371,8,,2020-03-24T00:00:00
BE,3743,88,,2020-03-24T00:00:00
AT,4486,25,,2020-03-24T00:00:00
NL,4749,213,,2020-03-24T00:00:00
GB,6650,335,,2020-03-24T00:00:00
FR,19856,860,,2020-03-24T00:00:00
DE,29212,126,,2020-03-24T00:00:00
ES,33089,2182,,2020-03-24T00:00:00
IT,63927,6077,,2020-03-24T00:00:00
Total,182470,10049,,2020-03-24T00:00:00
LI,47,0,,2020-03-25T00:00:00
MT,120,0,,2020-03-25T00:00:00
CY,124,3,,2020-03-25T00:00:00
LV,197,0,,2020-03-25T00:00:00
SK,204,0,,2020-03-25T00:00:00
LT,209,2,,2020-03-25T00:00:00
BG,220,3,,2020-03-25T00:00:00
HU,226,10,,2020-03-25T00:00:00
EE,369,0,,2020-03-25T00:00:00
HR,382,1,,2020-03-25T00:00:00
SI,480,3,,2020-03-25T00:00:00
IS,648,2,,2020-03-25T00:00:00
GR,743,20,,2020-03-25T00:00:00
RO,762,11,,2020-03-25T00:00:00
FI,792,1,,2020-03-25T00:00:00
PL,901,10,,2020-03-25T00:00:00
LU,1099,8,,2020-03-25T00:00:00
IE,1329,7,,2020-03-25T00:00:00
CZ,1394,3,,2020-03-25T00:00:00
DK,1591,32,,2020-03-25T00:00:00
SE,2272,36,,2020-03-25T00:00:00
PT,2362,33,,2020-03-25T00:00:00
NO,2566,10,,2020-03-25T00:00:00
BE,4269,122,,2020-03-25T00:00:00
AT,5282,30,,2020-03-25T00:00:00
NL,5560,276,,2020-03-25T00:00:00
GB,8077,422,,2020-03-25T00:00:00
FR,22302,1100,,2020-03-25T00:00:00
DE,31554,149,,2020-03-25T00:00:00
ES,39673,2696,,2020-03-25T00:00:00
IT,69176,6820,,2020-03-25T00:00:00
Total,204930,11810,,2020-03-25T00:00:00
LI,51,0,,2020-03-26T00:00:00
MT,129,0,,2020-03-26T00:00:00
CY,132,3,,2020-03-26T00:00:00
SK,216,0,,2020-03-26T00:00:00
LV,221,0,,2020-03-26T00:00:00
BG,242,3,,2020-03-26T00:00:00
HU,261,10,,2020-03-26T00:00:00
LT,274,4,,2020-03-26T00:00:00
EE,404,1,,2020-03-26T00:00:00
HR,418,1,,2020-03-26T00:00:00
SI,528,4,,2020-03-26T00:00:00
IS,737,2,,2020-03-26T00:00:00
GR,821,22,,2020-03-26T00:00:00
FI,880,3,,2020-03-26T00:00:00
RO,906,13,,2020-03-26T00:00:00
PL,1051,14,,2020-03-26T00:00:00
LU,1333,8,,2020-03-26T00:00:00
IE,1564,9,,2020-03-26T00:00:00
CZ,1654,6,,2020-03-26T00:00:00
DK,1724,34,,2020-03-26T00:00:00
SE,2510,42,,2020-03-26T00:00:00
NO,2916,12,,2020-03-26T00:00:00
PT,2995,43,,2020-03-26T00:00:00
BE,4937,178,,2020-03-26T00:00:00
AT,5888,34,,2020-03-26T00:00:00
NL,6412,356,,2020-03-26T00:00:00
GB,9529,422,,2020-03-26T00:00:00
FR,25233,1331,,2020-03-26T00:00:00
DE,36508,198,,2020-03-26T00:00:00
ES,47610,3434,,2020-03-26T00:00:00
IT,74386,7505,,2020-03-26T00:00:00
Total,232470,13692,,2020-03-26T00:00:00
LI,56,0,,2020-03-27T00:00:00
MT,134,0,,2020-03-27T00:00:00
CY,146,3,,2020-03-27T00:00:00
SK,226,0,,2020-03-27T00:00:00
LV,244,0,,2020-03-27T00:00:00
BG,264,3,,2020-03-27T00:00:00
LT,299,4,,2020-03-27T00:00:00
HU,300,10,,2020-03-27T00:00:00
HR,495,2,,2020-03-27T00:00:00
EE,538,1,,2020-03-27T00:00:00
SI,577,5,,2020-03-27T00:00:00
IS,802,2,,2020-03-27T00:00:00
GR,892,26,,2020-03-27T00:00:00
FI,958,4,,2020-03-27T00:00:00
