country,cases,recovered,deaths,tests,quarantine,datetime
HU,187,21,9,6113,92,2020-03-24T11:15:00
HU,226,21,10,6817,85,2020-03-25T06:46:00
HU,261,28,10,8005,100,2020-03-26T06:34:00
HU,300,34,10,9275,84,2020-03-27T06:44:00
HU,343,34,11,10303,87,2020-03-28T07:00:00
HU,408,34,13,12148,71,2020-03-29T07:34:00
HU,447,34,15,13301,73,2020-03-30T06:36:00
HU,492,37,0,14146,61,2020-03-31T08:45:00
HU,525,40,0,15208,61,2020-04-01T06:50:00
HU,585,42,0,16401,59,2020-04-02T07:05:00
HU,585,42,0,16401,,2020-04-02T22:03:00
HU,623,43,0,17769,,2020-04-03T09:05:00
HU,678,58,0,19424,,2020-04-04T10:17:00
HU,733,66,0,21250,,2020-04-05T07:16:00
HU,744,67,0,22282,,2020-04-06T06:32:00
HU,817,71,0,23746,,2020-04-07T07:11:00
HU,895,94,0,25748,,2020-04-08T06:19:00
HU,980,96,0,27826,,2020-04-09T06:45:00
HU,1190,112,0,29948,,2020-04-10T07:02:00
HU,1310,115,0,31961,,2020-04-11T07:51:00
HU,1410,118,0,33532,,2020-04-12T07:32:00
HU,1458,120,0,34819,,2020-04-13T07:39:00
HU,1512,122,0,35825,,2020-04-14T06:44:00
HU,1579,192,0,37326,,2020-04-15T06:55:00
HU,1579,192,0,37326,,2020-04-15T12:44:00
HU,1652,199,0,38489,,2020-04-16T07:41:00
HU,1763,207,0,41590,,2020-04-17T07:29:00
HU,1834,231,0,43901,,2020-04-18T07:38:00
HU,1916,250,0,46353,,2020-04-19T08:27:00
HU,1984,267,0,48057,,2020-04-20T07:05:00
HU,2098,287,0,50052,,2020-04-21T07:06:00
