country,lau,cases,population,cases/100k pop.,deaths,hospitalized,hospitalized/100k pop.,datetime
NL,Aa en Hunze,0.0,,,0,,,2020-03-07T00:00:00
NL,Oosterhout,0.0,,,0,,,2020-03-07T00:00:00
NL,Oost Gelre,0.0,,,0,,,2020-03-07T00:00:00
NL,Ommen,0.0,,,0,,,2020-03-07T00:00:00
NL,Olst-Wijhe,0.0,,,0,,,2020-03-07T00:00:00
NL,Oldenzaal,0.0,,,0,,,2020-03-07T00:00:00
NL,Oldebroek,0.0,,,0,,,2020-03-07T00:00:00
NL,Oldambt,0.0,,,0,,,2020-03-07T00:00:00
NL,Oirschot,0.0,,,0,,,2020-03-07T00:00:00
NL,Nunspeet,0.0,,,0,,,2020-03-07T00:00:00
NL,"Nuenen, Gerwen en Nederwetten",0.0,,,0,,,2020-03-07T00:00:00
NL,Noordwijk,0.0,,,0,,,2020-03-07T00:00:00
NL,Noordoostpolder,0.0,,,0,,,2020-03-07T00:00:00
NL,Noordenveld,0.0,,,0,,,2020-03-07T00:00:00
NL,Noord-Beveland,0.0,,,0,,,2020-03-07T00:00:00
NL,Noardeast-Fryslân,0.0,,,0,,,2020-03-07T00:00:00
NL,Ooststellingwerf,0.0,,,0,,,2020-03-07T00:00:00
NL,Oostzaan,0.0,,,0,,,2020-03-07T00:00:00
NL,Opmeer,0.0,,,0,,,2020-03-07T00:00:00
NL,Opsterland,0.0,,,0,,,2020-03-07T00:00:00
NL,Rijssen-Holten,0.0,,,0,,,2020-03-07T00:00:00
NL,Rhenen,0.0,,,0,,,2020-03-07T00:00:00
NL,Rheden,0.0,,,0,,,2020-03-07T00:00:00
NL,Reusel-De Mierden,0.0,,,0,,,2020-03-07T00:00:00
NL,Renswoude,0.0,,,0,,,2020-03-07T00:00:00
NL,Reimerswaal,0.0,,,0,,,2020-03-07T00:00:00
NL,Raalte,0.0,,,0,,,2020-03-07T00:00:00
NL,Nissewaard,0.0,,,0,,,2020-03-07T00:00:00
NL,Putten,0.0,,,0,,,2020-03-07T00:00:00
NL,Pekela,0.0,,,0,,,2020-03-07T00:00:00
NL,Peel en Maas,0.0,,,0,,,2020-03-07T00:00:00
NL,Papendrecht,0.0,,,0,,,2020-03-07T00:00:00
NL,Overbetuwe,0.0,,,0,,,2020-03-07T00:00:00
NL,Oudewater,0.0,,,0,,,2020-03-07T00:00:00
NL,Ouder-Amstel,0.0,,,0,,,2020-03-07T00:00:00
NL,Oude IJsselstreek,0.0,,,0,,,2020-03-07T00:00:00
NL,Purmerend,0.0,,,0,,,2020-03-07T00:00:00
NL,Nijkerk,0.0,,,0,,,2020-03-07T00:00:00
NL,Nieuwkoop,0.0,,,0,,,2020-03-07T00:00:00
NL,Nieuwegein,0.0,,,0,,,2020-03-07T00:00:00
NL,Lopik,0.0,,,0,,,2020-03-07T00:00:00
NL,Zwolle,0.0,,,0,,,2020-03-07T00:00:00
NL,Lochem,0.0,,,0,,,2020-03-07T00:00:00
NL,Lisse,0.0,,,0,,,2020-03-07T00:00:00
NL,Zoetermeer,0.0,,,0,,,2020-03-07T00:00:00
NL,Leusden,0.0,,,0,,,2020-03-07T00:00:00
NL,Leudal,0.0,,,0,,,2020-03-07T00:00:00
NL,Loppersum,0.0,,,0,,,2020-03-07T00:00:00
NL,Lelystad,0.0,,,0,,,2020-03-07T00:00:00
NL,Leiden,0.0,,,0,,,2020-03-07T00:00:00
NL,Leeuwarden,0.0,,,0,,,2020-03-07T00:00:00
NL,Laren,0.0,,,0,,,2020-03-07T00:00:00
NL,Langedijk,0.0,,,0,,,2020-03-07T00:00:00
NL,Landgraaf,0.0,,,0,,,2020-03-07T00:00:00
NL,Landerd,0.0,,,0,,,2020-03-07T00:00:00
NL,Laarbeek,0.0,,,0,,,2020-03-07T00:00:00
NL,Leiderdorp,0.0,,,0,,,2020-03-07T00:00:00
NL,Rijswijk,0.0,,,0,,,2020-03-07T00:00:00
NL,Losser,0.0,,,0,,,2020-03-07T00:00:00
NL,Maasgouw,0.0,,,0,,,2020-03-07T00:00:00
NL,Nederweert,0.0,,,0,,,2020-03-07T00:00:00
NL,Neder-Betuwe,0.0,,,0,,,2020-03-07T00:00:00
NL,Mook en Middelaar,0.0,,,0,,,2020-03-07T00:00:00
NL,Montfoort,0.0,,,0,,,2020-03-07T00:00:00
NL,Montferland,0.0,,,0,,,2020-03-07T00:00:00
NL,Molenlanden,0.0,,,0,,,2020-03-07T00:00:00
NL,Moerdijk,0.0,,,0,,,2020-03-07T00:00:00
NL,Maasdriel,0.0,,,0,,,2020-03-07T00:00:00
NL,Mill en Sint Hubert,0.0,,,0,,,2020-03-07T00:00:00
NL,Midden-Drenthe,0.0,,,0,,,2020-03-07T00:00:00
NL,Midden-Delfland,0.0,,,0,,,2020-03-07T00:00:00
NL,Middelburg,0.0,,,0,,,2020-03-07T00:00:00
NL,Meppel,0.0,,,0,,,2020-03-07T00:00:00
NL,Meerssen,0.0,,,0,,,2020-03-07T00:00:00
NL,Medemblik,0.0,,,0,,,2020-03-07T00:00:00
NL,Maassluis,0.0,,,0,,,2020-03-07T00:00:00
NL,Midden-Groningen,0.0,,,0,,,2020-03-07T00:00:00
NL,Krimpenerwaard,0.0,,,0,,,2020-03-07T00:00:00
NL,Roerdalen,0.0,,,0,,,2020-03-07T00:00:00
NL,Roosendaal,0.0,,,0,,,2020-03-07T00:00:00
NL,Waddinxveen,0.0,,,0,,,2020-03-07T00:00:00
NL,Waadhoeke,0.0,,,0,,,2020-03-07T00:00:00
NL,Vught,0.0,,,0,,,2020-03-07T00:00:00
NL,Voorst,0.0,,,0,,,2020-03-07T00:00:00
NL,Voorschoten,0.0,,,0,,,2020-03-07T00:00:00
NL,Voerendaal,0.0,,,0,,,2020-03-07T00:00:00
NL,Vlissingen,0.0,,,0,,,2020-03-07T00:00:00
NL,Vlieland,0.0,,,0,,,2020-03-07T00:00:00
NL,Vlaardingen,0.0,,,0,,,2020-03-07T00:00:00
NL,Venray,0.0,,,0,,,2020-03-07T00:00:00
NL,Venlo,0.0,,,0,,,2020-03-07T00:00:00
NL,Velsen,0.0,,,0,,,2020-03-07T00:00:00
NL,Veldhoven,0.0,,,0,,,2020-03-07T00:00:00
NL,Veere,0.0,,,0,,,2020-03-07T00:00:00
NL,Veenendaal,0.0,,,0,,,2020-03-07T00:00:00
NL,Wageningen,0.0,,,0,,,2020-03-07T00:00:00
NL,Wassenaar,0.0,,,0,,,2020-03-07T00:00:00
NL,Waterland,0.0,,,0,,,2020-03-07T00:00:00
NL,Weert,0.0,,,0,,,2020-03-07T00:00:00
NL,Zevenaar,0.0,,,0,,,2020-03-07T00:00:00
NL,Zandvoort,0.0,,,0,,,2020-03-07T00:00:00
NL,Woudenberg,0.0,,,0,,,2020-03-07T00:00:00
NL,Wormerland,0.0,,,0,,,2020-03-07T00:00:00
NL,Woensdrecht,0.0,,,0,,,2020-03-07T00:00:00
NL,Winterswijk,0.0,,,0,,,2020-03-07T00:00:00
NL,Wijdemeren,0.0,,,0,,,2020-03-07T00:00:00
NL,Veendam,0.0,,,0,,,2020-03-07T00:00:00
NL,Wijchen,0.0,,,0,,,2020-03-07T00:00:00
NL,Weststellingwerf,0.0,,,0,,,2020-03-07T00:00:00
NL,Westland,0.0,,,0,,,2020-03-07T00:00:00
NL,Westerwolde,0.0,,,0,,,2020-03-07T00:00:00
NL,Westervoort,0.0,,,0,,,2020-03-07T00:00:00
NL,Westerveld,0.0,,,0,,,2020-03-07T00:00:00
NL,Westerkwartier,0.0,,,0,,,2020-03-07T00:00:00
