country,nuts_3,cases,datetime
NO,Nordland,17,2020-03-20T00:00:00
NO,Møre og Romsdal,29,2020-03-20T00:00:00
NO,Troms og Finnmark,32,2020-03-20T00:00:00
NO,Vestfold og Telemark,72,2020-03-20T00:00:00
NO,Agder,79,2020-03-20T00:00:00
NO,Trøndelag,97,2020-03-20T00:00:00
NO,Innlandet,115,2020-03-20T00:00:00
NO,Vestland,173,2020-03-20T00:00:00
NO,Rogaland,180,2020-03-20T00:00:00
NO,Oslo,419,2020-03-20T00:00:00
NO,Viken,529,2020-03-20T00:00:00
NO,Nordland,17,2020-03-21T00:00:00
NO,Møre og Romsdal,32,2020-03-21T00:00:00
NO,Troms og Finnmark,37,2020-03-21T00:00:00
NO,Vestfold og Telemark,81,2020-03-21T00:00:00
NO,Agder,82,2020-03-21T00:00:00
NO,Trøndelag,122,2020-03-21T00:00:00
NO,Innlandet,125,2020-03-21T00:00:00
NO,Rogaland,199,2020-03-21T00:00:00
NO,Vestland,200,2020-03-21T00:00:00
NO,Oslo,448,2020-03-21T00:00:00
NO,Viken,583,2020-03-21T00:00:00
NO,Nordland,19,2020-03-22T00:00:00
NO,Møre og Romsdal,38,2020-03-22T00:00:00
NO,Troms og Finnmark,49,2020-03-22T00:00:00
NO,Vestfold og Telemark,85,2020-03-22T00:00:00
NO,Agder,91,2020-03-22T00:00:00
NO,Trøndelag,131,2020-03-22T00:00:00
NO,Innlandet,148,2020-03-22T00:00:00
NO,Vestland,214,2020-03-22T00:00:00
NO,Rogaland,219,2020-03-22T00:00:00
NO,Oslo,523,2020-03-22T00:00:00
NO,Viken,615,2020-03-22T00:00:00
NO,Nordland,19,2020-03-23T00:00:00
NO,Møre og Romsdal,38,2020-03-23T00:00:00
NO,Troms og Finnmark,49,2020-03-23T00:00:00
NO,Vestfold og Telemark,85,2020-03-23T00:00:00
NO,Agder,91,2020-03-23T00:00:00
NO,Trøndelag,131,2020-03-23T00:00:00
NO,Innlandet,148,2020-03-23T00:00:00
NO,Vestland,214,2020-03-23T00:00:00
NO,Rogaland,219,2020-03-23T00:00:00
NO,Oslo,523,2020-03-23T00:00:00
NO,Viken,615,2020-03-23T00:00:00
NO,Nordland,18,2020-03-24T00:00:00
NO,Møre og Romsdal,46,2020-03-24T00:00:00
NO,Troms og Finnmark,59,2020-03-24T00:00:00
NO,Agder,92,2020-03-24T00:00:00
NO,Vestfold og Telemark,95,2020-03-24T00:00:00
NO,Trøndelag,158,2020-03-24T00:00:00
NO,Innlandet,163,2020-03-24T00:00:00
NO,Rogaland,251,2020-03-24T00:00:00
NO,Vestland,279,2020-03-24T00:00:00
NO,Oslo,657,2020-03-24T00:00:00
NO,Viken,748,2020-03-24T00:00:00
