country,nuts_3,cases,datetime
Scotland,Dumfries and Galloway,1,2020-03-16T14:00:00
Scotland,Highland,2,2020-03-16T14:00:00
Scotland,Ayrshire and Arran,7,2020-03-16T14:00:00
Scotland,Borders,7,2020-03-16T14:00:00
Scotland,Fife,7,2020-03-16T14:00:00
Scotland,Forth Valley,10,2020-03-16T14:00:00
Scotland,Grampian,12,2020-03-16T14:00:00
Scotland,Shetland,15,2020-03-16T14:00:00
Scotland,Tayside,17,2020-03-16T14:00:00
Scotland,Lanarkshire,20,2020-03-16T14:00:00
Scotland,Lothian,29,2020-03-16T14:00:00
Scotland,Greater Glasgow and Clyde,44,2020-03-16T14:00:00
Scotland,Dumfries and Galloway,1,2020-03-17T14:00:00
Scotland,Highland,5,2020-03-17T14:00:00
Scotland,Ayrshire and Arran,6,2020-03-17T14:00:00
Scotland,Borders,7,2020-03-17T14:00:00
Scotland,Fife,7,2020-03-17T14:00:00
Scotland,Forth Valley,12,2020-03-17T14:00:00
Scotland,Shetland,15,2020-03-17T14:00:00
Scotland,Tayside,20,2020-03-17T14:00:00
Scotland,Lanarkshire,21,2020-03-17T14:00:00
Scotland,Grampian,22,2020-03-17T14:00:00
Scotland,Lothian,30,2020-03-17T14:00:00
Scotland,Greater Glasgow and Clyde,49,2020-03-17T14:00:00
Scotland,Dumfries and Galloway,4,2020-03-18T14:00:00
Scotland,Highland,5,2020-03-18T14:00:00
Scotland,Borders,7,2020-03-18T14:00:00
Scotland,Fife,8,2020-03-18T14:00:00
Scotland,Ayrshire and Arran,9,2020-03-18T14:00:00
Scotland,Forth Valley,15,2020-03-18T14:00:00
Scotland,Shetland,16,2020-03-18T14:00:00
Scotland,Grampian,24,2020-03-18T14:00:00
Scotland,Tayside,24,2020-03-18T14:00:00
Scotland,Lanarkshire,25,2020-03-18T14:00:00
Scotland,Lothian,33,2020-03-18T14:00:00
Scotland,Greater Glasgow and Clyde,57,2020-03-18T14:00:00
Scotland,Dumfries and Galloway,6,2020-03-19T00:00:00
Scotland,Highland,6,2020-03-19T00:00:00
Scotland,Borders,8,2020-03-19T00:00:00
Scotland,Fife,9,2020-03-19T00:00:00
Scotland,Ayrshire and Arran,12,2020-03-19T00:00:00
Scotland,Forth Valley,17,2020-03-19T00:00:00
Scotland,Grampian,18,2020-03-19T00:00:00
Scotland,Shetland,24,2020-03-19T00:00:00
Scotland,Tayside,27,2020-03-19T00:00:00
Scotland,Lanarkshire,33,2020-03-19T00:00:00
Scotland,Lothian,35,2020-03-19T00:00:00
Scotland,Greater Glasgow and Clyde,71,2020-03-19T00:00:00
Scotland,Highland,6,2020-03-20T00:00:00
Scotland,Borders,9,2020-03-20T00:00:00
Scotland,Dumfries and Galloway,10,2020-03-20T00:00:00
Scotland,Fife,12,2020-03-20T00:00:00
Scotland,Ayrshire and Arran,16,2020-03-20T00:00:00
Scotland,Grampian,19,2020-03-20T00:00:00
Scotland,Forth Valley,23,2020-03-20T00:00:00
Scotland,Shetland,24,2020-03-20T00:00:00
Scotland,Tayside,31,2020-03-20T00:00:00
Scotland,Lothian,40,2020-03-20T00:00:00
Scotland,Lanarkshire,41,2020-03-20T00:00:00
Scotland,Greater Glasgow and Clyde,91,2020-03-20T00:00:00
Scotland,Highland,8,2020-03-21T00:00:00
Scotland,Borders,10,2020-03-21T00:00:00
Scotland,Dumfries and Galloway,13,2020-03-21T00:00:00
Scotland,Fife,13,2020-03-21T00:00:00
Scotland,Grampian,20,2020-03-21T00:00:00
Scotland,Ayrshire and Arran,21,2020-03-21T00:00:00
Scotland,Shetland,24,2020-03-21T00:00:00
Scotland,Forth Valley,27,2020-03-21T00:00:00
Scotland,Tayside,34,2020-03-21T00:00:00
Scotland,Lothian,44,2020-03-21T00:00:00
Scotland,Lanarkshire,49,2020-03-21T00:00:00
Scotland,Greater Glasgow and Clyde,110,2020-03-21T00:00:00
Scotland,Highland,8,2020-03-22T00:00:00
Scotland,Borders,11,2020-03-22T00:00:00
Scotland,Dumfries and Galloway,16,2020-03-22T00:00:00
Scotland,Fife,16,2020-03-22T00:00:00
Scotland,Grampian,23,2020-03-22T00:00:00
Scotland,Shetland,24,2020-03-22T00:00:00
Scotland,Ayrshire and Arran,25,2020-03-22T00:00:00
Scotland,Forth Valley,30,2020-03-22T00:00:00
Scotland,Tayside,38,2020-03-22T00:00:00
Scotland,Lothian,46,2020-03-22T00:00:00
Scotland,Lanarkshire,49,2020-03-22T00:00:00
Scotland,Greater Glasgow and Clyde,130,2020-03-22T00:00:00
Scotland,Borders,12,2020-03-23T00:00:00
Scotland,Highland,12,2020-03-23T00:00:00
Scotland,Dumfries and Galloway,18,2020-03-23T00:00:00
Scotland,Fife,19,2020-03-23T00:00:00
Scotland,Grampian,24,2020-03-23T00:00:00
Scotland,Shetland,24,2020-03-23T00:00:00
Scotland,Ayrshire and Arran,34,2020-03-23T00:00:00
Scotland,Forth Valley,40,2020-03-23T00:00:00
Scotland,Tayside,47,2020-03-23T00:00:00
Scotland,Lanarkshire,58,2020-03-23T00:00:00
Scotland,Lothian,59,2020-03-23T00:00:00
Scotland,Greater Glasgow and Clyde,152,2020-03-23T00:00:00
Scotland,Borders,12,2020-03-24T00:00:00
Scotland,Highland,13,2020-03-24T00:00:00
Scotland,Grampian,24,2020-03-24T00:00:00
Scotland,Shetland,24,2020-03-24T00:00:00
Scotland,Fife,25,2020-03-24T00:00:00
Scotland,Dumfries and Galloway,26,2020-03-24T00:00:00
Scotland,Ayrshire and Arran,41,2020-03-24T00:00:00
Scotland,Forth Valley,43,2020-03-24T00:00:00
Scotland,Tayside,48,2020-03-24T00:00:00
Scotland,Lothian,70,2020-03-24T00:00:00
Scotland,Lanarkshire,75,2020-03-24T00:00:00
Scotland,Greater Glasgow and Clyde,183,2020-03-24T00:00:00
Scotland,Borders,15,2020-03-25T00:00:00
Scotland,Highland,22,2020-03-25T00:00:00
Scotland,Shetland,24,2020-03-25T00:00:00
Scotland,Fife,29,2020-03-25T00:00:00
Scotland,Grampian,29,2020-03-25T00:00:00
Scotland,Dumfries and Galloway,31,2020-03-25T00:00:00
Scotland,Ayrshire and Arran,57,2020-03-25T00:00:00
Scotland,Tayside,57,2020-03-25T00:00:00
Scotland,Forth Valley,59,2020-03-25T00:00:00
Scotland,Lanarkshire,87,2020-03-25T00:00:00
Scotland,Lothian,88,2020-03-25T00:00:00
Scotland,Greater Glasgow and Clyde,221,2020-03-25T00:00:00
Scotland,Borders,23,2020-03-26T00:00:00
Scotland,Shetland,24,2020-03-26T00:00:00
Scotland,Highland,29,2020-03-26T00:00:00
Scotland,Grampian,31,2020-03-26T00:00:00
Scotland,Dumfries and Galloway,39,2020-03-26T00:00:00
Scotland,Fife,40,2020-03-26T00:00:00
Scotland,Ayrshire and Arran,74,2020-03-26T00:00:00
Scotland,Forth Valley,75,2020-03-26T00:00:00
Scotland,Tayside,76,2020-03-26T00:00:00
Scotland,Lothian,111,2020-03-26T00:00:00
Scotland,Lanarkshire,114,2020-03-26T00:00:00
Scotland,Greater Glasgow and Clyde,258,2020-03-26T00:00:00
Scotland,Shetland,24,2020-03-27T00:00:00
Scotland,Borders,28,2020-03-27T00:00:00
Scotland,Highland,33,2020-03-27T00:00:00
Scotland,Fife,41,2020-03-27T00:00:00
Scotland,Grampian,45,2020-03-27T00:00:00
Scotland,Dumfries and Galloway,47,2020-03-27T00:00:00
Scotland,Ayrshire and Arran,75,2020-03-27T00:00:00
Scotland,Forth Valley,81,2020-03-27T00:00:00
Scotland,Tayside,107,2020-03-27T00:00:00
Scotland,Lothian,139,2020-03-27T00:00:00
Scotland,Lanarkshire,140,2020-03-27T00:00:00
Scotland,Greater Glasgow and Clyde,299,2020-03-27T00:00:00
Scotland,Shetland,27,2020-03-28T00:00:00
Scotland,Borders,35,2020-03-28T00:00:00
Scotland,Highland,36,2020-03-28T00:00:00
Scotland,Fife,51,2020-03-28T00:00:00
Scotland,Grampian,52,2020-03-28T00:00:00
Scotland,Dumfries and Galloway,60,2020-03-28T00:00:00
Scotland,Ayrshire and Arran,90,2020-03-28T00:00:00
Scotland,Forth Valley,95,2020-03-28T00:00:00
Scotland,Tayside,107,2020-03-28T00:00:00
Scotland,Lothian,151,2020-03-28T00:00:00
Scotland,Lanarkshire,165,2020-03-28T00:00:00
Scotland,Greater Glasgow and Clyde,376,2020-03-28T00:00:00
Scotland,Tayside,107,2020-03-29T00:00:00
Scotland,Ayrshire and Arran,108,2020-03-29T00:00:00
Scotland,Lanarkshire,184,2020-03-29T00:00:00
Scotland,Lothian,188,2020-03-29T00:00:00
Scotland,Shetland,27,2020-03-29T00:00:00
Scotland,Greater Glasgow and Clyde,401,2020-03-29T00:00:00
Scotland,Highland,42,2020-03-29T00:00:00
Scotland,Borders,50,2020-03-29T00:00:00
Scotland,Fife,58,2020-03-29T00:00:00
Scotland,Grampian,62,2020-03-29T00:00:00
Scotland,Dumfries and Galloway,63,2020-03-29T00:00:00
Scotland,Forth Valley,94*,2020-03-29T00:00:00
Scotland,Shetland,27,2020-03-30T00:00:00
Scotland,Highland,44,2020-03-30T00:00:00
Scotland,Borders,63,2020-03-30T00:00:00
Scotland,Grampian,66,2020-03-30T00:00:00
Scotland,Fife,70,2020-03-30T00:00:00
Scotland,Dumfries and Galloway,74,2020-03-30T00:00:00
Scotland,Forth Valley,103,2020-03-30T00:00:00
Scotland,Tayside,108,2020-03-30T00:00:00
Scotland,Ayrshire and Arran,154,2020-03-30T00:00:00
Scotland,Lanarkshire,197,2020-03-30T00:00:00
Scotland,Lothian,208,2020-03-30T00:00:00
Scotland,Greater Glasgow and Clyde,449,2020-03-30T00:00:00
Scotland,Shetland,27,2020-03-31T00:00:00
Scotland,Highland,44,2020-03-31T00:00:00
Scotland,Borders,63,2020-03-31T00:00:00
Scotland,Grampian,66,2020-03-31T00:00:00
Scotland,Fife,70,2020-03-31T00:00:00
Scotland,Dumfries and Galloway,74,2020-03-31T00:00:00
Scotland,Forth Valley,103,2020-03-31T00:00:00
Scotland,Tayside,108,2020-03-31T00:00:00
Scotland,Ayrshire and Arran,154,2020-03-31T00:00:00
Scotland,Lanarkshire,197,2020-03-31T00:00:00
Scotland,Lothian,208,2020-03-31T00:00:00
Scotland,Greater Glasgow and Clyde,449,2020-03-31T00:00:00
