country,nuts_3,cases,datetime
Wales,Merthyr Tydfil County Borough Council,0,2020-03-16T13:30:00
Wales,Denbighshire County Council,0,2020-03-16T13:30:00
Wales,Gwynedd Council,0,2020-03-16T13:30:00
Wales,Bridgend County Borough Council,1,2020-03-16T13:30:00
Wales,Vale of Glamorgan Council,1,2020-03-16T13:30:00
Wales,Ceredigion County Council,1,2020-03-16T13:30:00
Wales,Conwy County Borough Council,1,2020-03-16T13:30:00
Wales,Flintshire County Council,1,2020-03-16T13:30:00
Wales,Resident outside Wales,2,2020-03-16T13:30:00
Wales,Pembrokeshire County Council,2,2020-03-16T13:30:00
Wales,Rhondda Cynon Taf County Borough Council,2,2020-03-16T13:30:00
Wales,Torfaen County Borough Council,2,2020-03-16T13:30:00
Wales,Wrexham County Borough Council,2,2020-03-16T13:30:00
Wales,Isle of Anglesey County Council,2,2020-03-16T13:30:00
Wales,Powys County Council,3,2020-03-16T13:30:00
Wales,Blaenau Gwent County Borough Council,5,2020-03-16T13:30:00
Wales,Monmouthshire County Council,7,2020-03-16T13:30:00
Wales,Carmarthenshire County Council,7,2020-03-16T13:30:00
Wales,Neath Port Talbot Council,11,2020-03-16T13:30:00
Wales,City of Cardiff Council,11,2020-03-16T13:30:00
Wales,Residential area to be confirmed,12,2020-03-16T13:30:00
Wales,Newport City Council,14,2020-03-16T13:30:00
Wales,Caerphilly County Borough Council,14,2020-03-16T13:30:00
Wales,City and County of Swansea,23,2020-03-16T13:30:00
Wales,Total:,124,2020-03-16T13:30:00
Wales,Denbighshire County Council,0,2020-03-17T11:00:00
Wales,Gwynedd Council,0,2020-03-17T11:00:00
Wales,Merthyr Tydfil County Borough Council,0,2020-03-17T11:00:00
Wales,Vale of Glamorgan Council,1,2020-03-17T11:00:00
Wales,Ceredigion County Council,1,2020-03-17T11:00:00
Wales,Conwy County Borough Council,1,2020-03-17T11:00:00
Wales,Flintshire County Council,1,2020-03-17T11:00:00
Wales,Wrexham County Borough Council,2,2020-03-17T11:00:00
Wales,Rhondda Cynon Taf County Borough Council,2,2020-03-17T11:00:00
Wales,Pembrokeshire County Council,2,2020-03-17T11:00:00
Wales,Isle of Anglesey County Council,2,2020-03-17T11:00:00
Wales,Resident outside Wales,2,2020-03-17T11:00:00
Wales,Torfaen County Borough Council,3,2020-03-17T11:00:00
Wales,Bridgend County Borough Council,3,2020-03-17T11:00:00
Wales,Powys County Council,7,2020-03-17T11:00:00
Wales,Carmarthenshire County Council,7,2020-03-17T11:00:00
Wales,Monmouthshire County Council,8,2020-03-17T11:00:00
Wales,Blaenau Gwent County Borough Council,8,2020-03-17T11:00:00
Wales,Neath Port Talbot Council,11,2020-03-17T11:00:00
Wales,City of Cardiff Council,14,2020-03-17T11:00:00
Wales,Caerphilly County Borough Council,15,2020-03-17T11:00:00
Wales,City and County of Swansea,22,2020-03-17T11:00:00
Wales,Newport City Council,24,2020-03-17T11:00:00
Wales,Total:,136,2020-03-17T11:00:00
Wales,Denbighshire County Council,0,2020-03-17T16:30:00
Wales,Gwynedd Council,0,2020-03-17T16:30:00
Wales,Merthyr Tydfil County Borough Council,0,2020-03-17T16:30:00
Wales,Vale of Glamorgan Council,1,2020-03-17T16:30:00
Wales,Ceredigion County Council,1,2020-03-17T16:30:00
Wales,Conwy County Borough Council,1,2020-03-17T16:30:00
Wales,Flintshire County Council,1,2020-03-17T16:30:00
Wales,Wrexham County Borough Council,2,2020-03-17T16:30:00
Wales,Rhondda Cynon Taf County Borough Council,2,2020-03-17T16:30:00
Wales,Pembrokeshire County Council,2,2020-03-17T16:30:00
Wales,Isle of Anglesey County Council,2,2020-03-17T16:30:00
Wales,Resident outside Wales,2,2020-03-17T16:30:00
Wales,Torfaen County Borough Council,3,2020-03-17T16:30:00
Wales,Bridgend County Borough Council,3,2020-03-17T16:30:00
Wales,Powys County Council,7,2020-03-17T16:30:00
Wales,Carmarthenshire County Council,7,2020-03-17T16:30:00
Wales,Monmouthshire County Council,8,2020-03-17T16:30:00
Wales,Blaenau Gwent County Borough Council,8,2020-03-17T16:30:00
Wales,Neath Port Talbot Council,11,2020-03-17T16:30:00
Wales,City of Cardiff Council,14,2020-03-17T16:30:00
Wales,Caerphilly County Borough Council,15,2020-03-17T16:30:00
Wales,City and County of Swansea,22,2020-03-17T16:30:00
Wales,Newport City Council,24,2020-03-17T16:30:00
Wales,Total:,136,2020-03-17T16:30:00
Wales,To be confirmed,1,2020-03-21T16:20:00
Wales,Resident outside Wales,2,2020-03-21T16:20:00
Wales,Betsi Cadwaladr,8,2020-03-21T16:20:00
Wales,Cwm Taf,9,2020-03-21T16:20:00
Wales,Powys,9,2020-03-21T16:20:00
Wales,Hywel Dda,14,2020-03-21T16:20:00
Wales,Swansea Bay,41,2020-03-21T16:20:00
Wales,Cardiff and Vale,51,2020-03-21T16:20:00
Wales,Aneurin Bevan,145,2020-03-21T16:20:00
Wales,To be confirmed,1,2020-03-23T12:00:00
Wales,Resident outside Wales,3,2020-03-23T12:00:00
Wales,Powys,11,2020-03-23T12:00:00
Wales,Betsi Cadwaladr,15,2020-03-23T12:00:00
Wales,Hywel Dda,16,2020-03-23T12:00:00
Wales,Cwm Taf,21,2020-03-23T12:00:00
Wales,Swansea Bay,47,2020-03-23T12:00:00
Wales,Cardiff and Vale,84,2020-03-23T12:00:00
Wales,Aneurin Bevan,220,2020-03-23T12:00:00
Wales,Wales,418,2020-03-23T12:00:00
