country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,18679,18222,343,2651738,4,1,2021-08-14T09:30:00+02:00
AT,Vorarlberg,31629,30905,308,4155974,10,3,2021-08-14T09:30:00+02:00
AT,Kärnten,41022,39900,822,3217965,17,2,2021-08-14T09:30:00+02:00
AT,Salzburg,50701,49484,588,4668324,13,3,2021-08-14T09:30:00+02:00
AT,Tirol,65588,64161,637,5668155,21,5,2021-08-14T09:30:00+02:00
AT,Steiermark,81396,78515,2098,9919930,24,7,2021-08-14T09:30:00+02:00
AT,Niederösterreich,113156,109684,1830,13834722,38,5,2021-08-14T09:30:00+02:00
AT,Oberösterreich,119691,116910,1759,11390158,20,6,2021-08-14T09:30:00+02:00
AT,Wien,145979,141185,2369,15674778,74,19,2021-08-14T09:30:00+02:00
AT,Österreich,667841,648966,10754,71181744,221,51,2021-08-14T09:30:00+02:00
