country,region,cases,datetime
CH,AG,17.0,2020-03-11T00:00:00
CH,AI,0.0,2020-03-11T00:00:00
CH,AR,2.0,2020-03-11T00:00:00
CH,BE,41.0,2020-03-11T00:00:00
CH,BL,23.0,2020-03-11T00:00:00
CH,BS,49.0,2020-03-11T00:00:00
CH,FR,16.0,2020-03-11T00:00:00
CH,GE,66,2020-03-11T00:00:00
CH,GL,2.0,2020-03-11T00:00:00
CH,GR,23.0,2020-03-11T00:00:00
CH,JU,5.0,2020-03-11T00:00:00
CH,LU,7.0,2020-03-11T00:00:00
CH,NE,27.0,2020-03-11T00:00:00
CH,NW,3.0,2020-03-11T00:00:00
CH,OW,0.0,2020-03-11T00:00:00
CH,SG,10.0,2020-03-11T00:00:00
CH,SH,1.0,2020-03-11T00:00:00
CH,SO,3.0,2020-03-11T00:00:00
CH,SZ,8.0,2020-03-11T00:00:00
CH,TG,4.0,2020-03-11T00:00:00
CH,TI,131.0,2020-03-11T00:00:00
CH,UR,0.0,2020-03-11T00:00:00
CH,VD,108,2020-03-11T00:00:00
CH,VS,18.0,2020-03-11T00:00:00
CH,ZG,7.0,2020-03-11T00:00:00
CH,ZH,55.0,2020-03-11T00:00:00
CH,CH,626,2020-03-11T00:00:00
