country,nuts_2,cases,datetime
CH,AI,0,2020-03-12T00:00:00
CH,UR,0,2020-03-12T00:00:00
CH,OW,0,2020-03-12T00:00:00
CH,SH,1,2020-03-12T00:00:00
CH,AR,2,2020-03-12T00:00:00
CH,GL,2,2020-03-12T00:00:00
CH,NW,4,2020-03-12T00:00:00
CH,TG,5,2020-03-12T00:00:00
CH,ZG,7,2020-03-12T00:00:00
CH,SO,7,2020-03-12T00:00:00
CH,JU,7,2020-03-12T00:00:00
CH,LU,8,2020-03-12T00:00:00
CH,SZ,9,2020-03-12T00:00:00
CH,SG,14,2020-03-12T00:00:00
CH,AG,22,2020-03-12T00:00:00
CH,VS,23,2020-03-12T00:00:00
CH,FR,26,2020-03-12T00:00:00
CH,GR,28,2020-03-12T00:00:00
CH,BL,29,2020-03-12T00:00:00
CH,NE,33,2020-03-12T00:00:00
CH,BE,51,2020-03-12T00:00:00
CH,GE,80,2020-03-12T00:00:00
CH,BS,80,2020-03-12T00:00:00
CH,ZH,91,2020-03-12T00:00:00
CH,VD,156,2020-03-12T00:00:00
CH,TI,170,2020-03-12T00:00:00
