country,nuts_2,cases,datetime
CH,AI,4,2020-03-23T00:00:00
CH,UR,22,2020-03-23T00:00:00
CH,OW,25,2020-03-23T00:00:00
CH,GL,29,2020-03-23T00:00:00
CH,AR,30,2020-03-23T00:00:00
CH,SH,30,2020-03-23T00:00:00
CH,NW,39,2020-03-23T00:00:00
CH,JU,57,2020-03-23T00:00:00
CH,ZG,62,2020-03-23T00:00:00
CH,SZ,73,2020-03-23T00:00:00
CH,TG,81,2020-03-23T00:00:00
CH,SO,95,2020-03-23T00:00:00
CH,LU,156,2020-03-23T00:00:00
CH,SG,185,2020-03-23T00:00:00
CH,FR,189,2020-03-23T00:00:00
CH,NE,204,2020-03-23T00:00:00
CH,AG,241,2020-03-23T00:00:00
CH,GR,266,2020-03-23T00:00:00
CH,BL,302,2020-03-23T00:00:00
CH,BS,376,2020-03-23T00:00:00
CH,BE,470,2020-03-23T00:00:00
CH,VS,492,2020-03-23T00:00:00
CH,ZH,1068,2020-03-23T00:00:00
CH,TI,1165,2020-03-23T00:00:00
CH,GE,1231,2020-03-23T00:00:00
CH,VD,1880,2020-03-23T00:00:00
