country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,1282.0,16.0,,,,2021-08-16
CH,Obwalden,OW,2753.0,39.0,,4.0,,2021-08-16
CH,Nidwalden,NW,2872.0,23.0,,5.0,1.0,2021-08-16
CH,Glarus,GL,3071.0,78.0,,5.0,0.0,2021-08-16
CH,Uri,UR,3344.0,50.0,,0.0,,2021-08-16
CH,Schaffhausen,SH,5152.0,78.0,,8.0,2.0,2021-08-16
CH,Jura,JU,7393.0,129.0,,4.0,2.0,2021-08-16
CH,Zug,ZG,9045.0,123.0,,12.0,2.0,2021-08-16
CH,Schwyz,SZ,13069.0,240.0,,,,2021-08-16
CH,Basel-Stadt,BS,14182.0,208.0,,28.0,7.0,2021-08-16
CH,Grisons,GR,14435.0,192.0,,12.0,2.0,2021-08-16
CH,Neuchâtel,NE,18153.0,404.0,,2.0,2.0,2021-08-16
CH,Solothurn,SO,19067.0,,,,,2021-08-16
CH,Basel-Landschaft,BL,19872.0,222.0,,18.0,0.0,2021-08-16
CH,Thurgau,TG,20441.0,458.0,,26.0,11.0,2021-08-16
CH,Lucerne,LU,30808.0,,,34.0,,2021-08-16
CH,Fribourg,FR,33495.0,491.0,,5.0,0.0,2021-08-16
CH,Ticino,TI,34492.0,997.0,,17.0,1.0,2021-08-16
CH,Valais,VS,39461.0,673.0,,20.0,4.0,2021-08-16
CH,St. Gallen,SG,45629.0,720.0,,32.0,11.0,2021-08-16
CH,Aargau,AG,50968.0,706.0,,40.0,8.0,2021-08-16
CH,Geneva,GE,58460.0,786.0,,79.0,4.0,2021-08-16
CH,Berne,BE,69749.0,1107.0,,23.0,6.0,2021-08-16
CH,Zürich,ZH,119725.0,1425.0,,72.0,32.0,2021-08-16
CH,,,728489.0,10844.0,416495.0,523.0,124.0,2021-08-16
CH,Appenzell Ausserrhoden,AR,,,,,,2021-08-16
CH,Vaud,VD,,,,,,2021-08-16
