country,nuts_3,cases,datetime
CZ,Nezjištěno,1718,2020-12-18T07:59:00
CZ,Karlovarský kraj,12667,2020-12-18T07:59:00
CZ,Liberecký kraj,27408,2020-12-18T07:59:00
CZ,Pardubický kraj,31582,2020-12-18T07:59:00
CZ,Plzeňský kraj,32961,2020-12-18T07:59:00
CZ,Královéhradecký kraj,33465,2020-12-18T07:59:00
CZ,Kraj Vysočina,33851,2020-12-18T07:59:00
CZ,Jihočeský kraj,37465,2020-12-18T07:59:00
CZ,Olomoucký kraj,37987,2020-12-18T07:59:00
CZ,Ústecký kraj,42154,2020-12-18T07:59:00
CZ,Zlínský kraj,42154,2020-12-18T07:59:00
CZ,Jihomoravský kraj,58382,2020-12-18T07:59:00
CZ,Hlavní město Praha,68815,2020-12-18T07:59:00
CZ,Moravskoslezský kraj,69850,2020-12-18T07:59:00
CZ,Středočeský kraj,79547,2020-12-18T07:59:00
