country,nuts_1,cases,datetime
DE,Brandenburg,1,2020-03-05T08:00:00
DE,Saarland,1,2020-03-05T08:00:00
DE,Sachsen,1,2020-03-05T08:00:00
DE,Thüringen,1,2020-03-05T08:00:00
DE,Bremen,3,2020-03-05T08:00:00
DE,Hamburg,3,2020-03-05T08:00:00
DE,Schleswig-Holstein,3,2020-03-05T08:00:00
DE,Mecklenburg-Vorpommern,4,2020-03-05T08:00:00
DE,Rheinland-Pfalz,7,2020-03-05T08:00:00
DE,Berlin,9,2020-03-05T08:00:00
DE,Niedersachsen,10,2020-03-05T08:00:00
DE,Hessen,14,2020-03-05T08:00:00
DE,Bayern,52,2020-03-05T08:00:00
DE,Baden-Württemberg,65,2020-03-05T08:00:00
DE,Nordrhein-Westfalen,175,2020-03-05T08:00:00
