country,cases,deaths,deaths/100k pop.,datetime
LI,2222,35,28.66,2021-01-04T00:00:00
IS,5754,29,0.28,2021-01-04T00:00:00
MT,13082,220,6.08,2021-01-04T00:00:00
CY,23974,131,4.57,2021-01-04T00:00:00
EE,29521,251,5.81,2021-01-04T00:00:00
FI,36919,565,1.38,2021-01-04T00:00:00
LV,42497,680,12.55,2021-01-04T00:00:00
LU,46919,506,10.75,2021-01-04T00:00:00
NO,50715,449,0.84,2021-01-04T00:00:00
IE,101887,2259,2.06,2021-01-04T00:00:00
SI,125858,2891,25.13,2021-01-04T00:00:00
GR,140099,4957,7.32,2021-01-04T00:00:00
LT,147997,1361,11.52,2021-01-04T00:00:00
DK,168711,1374,5.84,2021-01-04T00:00:00
SK,188099,2521,17.72,2021-01-04T00:00:00
BG,203051,7678,15.27,2021-01-04T00:00:00
HR,212958,4072,19.99,2021-01-04T00:00:00
HU,328851,9977,17.34,2021-01-04T00:00:00
AT,364574,6253,11.71,2021-01-04T00:00:00
PT,427254,7118,9.58,2021-01-04T00:00:00
SE,469748,8985,3.32,2021-01-04T00:00:00
RO,640429,15979,8.16,2021-01-04T00:00:00
BE,650794,19750,7.77,2021-01-04T00:00:00
CZ,746714,12070,15.58,2021-01-04T00:00:00
NL,820193,11598,6.49,2021-01-04T00:00:00
PL,1322947,29161,9.91,2021-01-04T00:00:00
DE,1775513,34574,10.0,2021-01-04T00:00:00
ES,1958844,51078,3.87,2021-01-04T00:00:00
IT,2155446,75332,10.82,2021-01-04T00:00:00
FR,2655728,65037,6.7,2021-01-04T00:00:00
Total,15857298,376891,,2021-01-04T00:00:00
