country,cases,deaths,datetime
LI,3026,59,2021-06-14T00:00:00
IS,6616,30,2021-06-14T00:00:00
MT,30581,419,2021-06-14T00:00:00
LU,70406,818,2021-06-14T00:00:00
CY,73190,373,2021-06-14T00:00:00
FI,93821,964,2021-06-14T00:00:00
NO,127676,789,2021-06-14T00:00:00
EE,130538,1266,2021-06-14T00:00:00
LV,136030,2456,2021-06-14T00:00:00
SI,256443,4721,2021-06-14T00:00:00
IE,266017,4941,2021-06-14T00:00:00
LT,277812,4342,2021-06-14T00:00:00
DK,289874,2525,2021-06-14T00:00:00
HR,358563,8132,2021-06-14T00:00:00
GR,414933,12422,2021-06-14T00:00:00
BG,420336,17900,2021-06-14T00:00:00
AT,644577,10399,2021-06-14T00:00:00
SK,777307,12439,2021-06-14T00:00:00
HU,807045,29925,2021-06-14T00:00:00
PT,857447,17047,2021-06-14T00:00:00
BE,1076244,25088,2021-06-14T00:00:00
RO,1079726,31834,2021-06-14T00:00:00
SE,1083456,14574,2021-06-14T00:00:00
CZ,1665139,30226,2021-06-14T00:00:00
NL,1670594,17689,2021-06-14T00:00:00
PL,2877469,74573,2021-06-14T00:00:00
DE,3715518,89844,2021-06-14T00:00:00
ES,3733600,80501,2021-06-14T00:00:00
IT,4244872,127002,2021-06-14T00:00:00
FR,5740665,110420,2021-06-14T00:00:00
