country,nuts_3,cases,datetime
England,Rutland,    6,2020-04-05T00:00:00
England,Hartlepool,   29,2020-04-05T00:00:00
England,"Kingston upon Hull, City of",   31,2020-04-05T00:00:00
England,Isle of Wight,   32,2020-04-05T00:00:00
England,North East Lincolnshire,   43,2020-04-05T00:00:00
England,Darlington,   45,2020-04-05T00:00:00
England,Peterborough,   48,2020-04-05T00:00:00
England,Swindon,   50,2020-04-05T00:00:00
England,North Lincolnshire,   51,2020-04-05T00:00:00
England,Torbay,   54,2020-04-05T00:00:00
England,Bracknell Forest,   57,2020-04-05T00:00:00
England,Bath and North East Somerset,   58,2020-04-05T00:00:00
England,"Herefordshire, County of",   62,2020-04-05T00:00:00
England,Blackburn with Darwen,   63,2020-04-05T00:00:00
England,Blackpool,   66,2020-04-05T00:00:00
England,North Somerset,   66,2020-04-05T00:00:00
England,York,   71,2020-04-05T00:00:00
England,Telford and Wrekin,   73,2020-04-05T00:00:00
England,Halton,   75,2020-04-05T00:00:00
England,West Berkshire,   80,2020-04-05T00:00:00
England,Brighton and Hove,   84,2020-04-05T00:00:00
England,South Tyneside,   84,2020-04-05T00:00:00
England,Redcar and Cleveland,   84,2020-04-05T00:00:00
England,"Bournemouth, Christchurch and Poole",   85,2020-04-05T00:00:00
England,East Riding of Yorkshire,   88,2020-04-05T00:00:00
England,Calderdale,   89,2020-04-05T00:00:00
England,Reading,   89,2020-04-05T00:00:00
England,Dorset,   95,2020-04-05T00:00:00
England,Portsmouth,   96,2020-04-05T00:00:00
England,Plymouth,   97,2020-04-05T00:00:00
England,Bedford,   97,2020-04-05T00:00:00
England,Southend-on-Sea,   97,2020-04-05T00:00:00
England,Somerset,   99,2020-04-05T00:00:00
England,Windsor and Maidenhead,   99,2020-04-05T00:00:00
England,Wokingham,  101,2020-04-05T00:00:00
England,Thurrock,  105,2020-04-05T00:00:00
England,Stoke-on-Trent,  106,2020-04-05T00:00:00
England,Stockton-on-Tees,  108,2020-04-05T00:00:00
England,South Gloucestershire,  113,2020-04-05T00:00:00
England,Wiltshire,  120,2020-04-05T00:00:00
England,Warrington,  122,2020-04-05T00:00:00
England,Bury,  124,2020-04-05T00:00:00
England,Middlesbrough,  126,2020-04-05T00:00:00
England,Central Bedfordshire,  132,2020-04-05T00:00:00
England,Knowsley,  133,2020-04-05T00:00:00
England,Bolton,  133,2020-04-05T00:00:00
England,Doncaster,  137,2020-04-05T00:00:00
England,Shropshire,  143,2020-04-05T00:00:00
England,Slough,  143,2020-04-05T00:00:00
England,Tameside,  145,2020-04-05T00:00:00
England,Southampton,  147,2020-04-05T00:00:00
England,Medway,  153,2020-04-05T00:00:00
England,Wakefield,  153,2020-04-05T00:00:00
England,East Sussex,  155,2020-04-05T00:00:00
England,Rochdale,  155,2020-04-05T00:00:00
England,Milton Keynes,  155,2020-04-05T00:00:00
England,Kingston upon Thames,  156,2020-04-05T00:00:00
England,Wigan,  156,2020-04-05T00:00:00
England,North Tyneside,  160,2020-04-05T00:00:00
England,Luton,  163,2020-04-05T00:00:00
England,Cheshire West and Chester,  167,2020-04-05T00:00:00
England,"Bristol, City of",  167,2020-04-05T00:00:00
England,Gateshead,  168,2020-04-05T00:00:00
England,Wirral,  168,2020-04-05T00:00:00
England,Cheshire East,  171,2020-04-05T00:00:00
England,St. Helens,  184,2020-04-05T00:00:00
England,Kirklees,  185,2020-04-05T00:00:00
England,Bradford,  185,2020-04-05T00:00:00
England,Cornwall and Isles of Scilly,  187,2020-04-05T00:00:00
England,Northumberland,  188,2020-04-05T00:00:00
England,Richmond upon Thames,  189,2020-04-05T00:00:00
England,Nottingham,  191,2020-04-05T00:00:00
England,Oldham,  194,2020-04-05T00:00:00
England,Leicester,  195,2020-04-05T00:00:00
