country,nuts_3,cases,datetime
ES,CE,822,2020-10-05T00:00:00
ES,ME,1407,2020-10-05T00:00:00
ES,H,1763,2020-10-05T00:00:00
ES,SO,2559,2020-10-05T00:00:00
ES,ZA,2884,2020-10-05T00:00:00
ES,LU,3101,2020-10-05T00:00:00
ES,TE,3174,2020-10-05T00:00:00
ES,P,3374,2020-10-05T00:00:00
ES,AV,3686,2020-10-05T00:00:00
ES,OR,4177,2020-10-05T00:00:00
ES,SG,4362,2020-10-05T00:00:00
ES,CU,4505,2020-10-05T00:00:00
ES,TF,4803,2020-10-05T00:00:00
ES,CS,4976,2020-10-05T00:00:00
ES,HU,5470,2020-10-05T00:00:00
ES,CC,5502,2020-10-05T00:00:00
ES,PO,5741,2020-10-05T00:00:00
ES,O,6244,2020-10-05T00:00:00
ES,J,6296,2020-10-05T00:00:00
ES,BA,6319,2020-10-05T00:00:00
ES,GU,6635,2020-10-05T00:00:00
ES,AB,7024,2020-10-05T00:00:00
ES,S,7212,2020-10-05T00:00:00
ES,LE,7732,2020-10-05T00:00:00
ES,BU,8002,2020-10-05T00:00:00
ES,CO,8041,2020-10-05T00:00:00
ES,SA,8297,2020-10-05T00:00:00
ES,CA,8384,2020-10-05T00:00:00
ES,AL,8525,2020-10-05T00:00:00
ES,T,8916,2020-10-05T00:00:00
ES,LO,9178,2020-10-05T00:00:00
ES,VI,9350,2020-10-05T00:00:00
ES,GC,9537,2020-10-05T00:00:00
ES,C,10572,2020-10-05T00:00:00
ES,NC,10585,2020-10-05T00:00:00
ES,GR,10650,2020-10-05T00:00:00
ES,GI,11688,2020-10-05T00:00:00
ES,PM,13051,2020-10-05T00:00:00
ES,L,13227,2020-10-05T00:00:00
ES,SS,13320,2020-10-05T00:00:00
ES,CR,13382,2020-10-05T00:00:00
ES,VA,13980,2020-10-05T00:00:00
ES,A,15557,2020-10-05T00:00:00
ES,SE,16222,2020-10-05T00:00:00
ES,MA,17393,2020-10-05T00:00:00
ES,TO,18424,2020-10-05T00:00:00
ES,MU,23704,2020-10-05T00:00:00
ES,V,25971,2020-10-05T00:00:00
ES,BI,27694,2020-10-05T00:00:00
ES,Z,29884,2020-10-05T00:00:00
ES,B,114618,2020-10-05T00:00:00
ES,M,265666,2020-10-05T00:00:00
