country,lau,cases,population,cases/100k pop.,datetime
FI,Föglö,5,526,950.570342205323,2021-08-13T11:00:00
FI,Kuhmoinen,5,2169,230.520977408944,2021-08-13T11:00:00
FI,Salla,5,3413,146.498681511866,2021-08-13T11:00:00
FI,Enontekiö,5,1812,275.938189845475,2021-08-13T11:00:00
FI,Juupajoki,6,1795,334.261838440111,2021-08-13T11:00:00
FI,Geta,6,514,1167.31517509728,2021-08-13T11:00:00
FI,Muonio,6,2302,260.642919200695,2021-08-13T11:00:00
FI,Vaala,6,2738,219.138056975895,2021-08-13T11:00:00
FI,Toivakka,6,2401,249.895876718034,2021-08-13T11:00:00
FI,Toholampi,6,2972,201.884253028264,2021-08-13T11:00:00
FI,Saltvik,7,1815,385.674931129477,2021-08-13T11:00:00
FI,Heinävesi,7,3196,219.023779724656,2021-08-13T11:00:00
FI,Kivijärvi,7,1104,634.057971014493,2021-08-13T11:00:00
FI,Rautjärvi,7,3154,221.940393151554,2021-08-13T11:00:00
FI,Hartola,8,2662,300.525920360631,2021-08-13T11:00:00
FI,Enonkoski,8,1374,582.241630276565,2021-08-13T11:00:00
FI,Kaskinen,8,1279,625.488663017983,2021-08-13T11:00:00
FI,Puolanka,8,2494,320.769847634322,2021-08-13T11:00:00
FI,Lestijärvi,8,722,1108.03324099723,2021-08-13T11:00:00
FI,Teuva,8,4995,160.16016016016,2021-08-13T11:00:00
FI,Konnevesi,9,2593,347.088314693405,2021-08-13T11:00:00
FI,Merikarvia,9,3064,293.733681462141,2021-08-13T11:00:00
FI,Simo,9,2948,305.291723202171,2021-08-13T11:00:00
FI,Karstula,9,3863,232.979549572871,2021-08-13T11:00:00
FI,Eckerö,9,960,937.5,2021-08-13T11:00:00
FI,Kihniö,9,1822,493.962678375412,2021-08-13T11:00:00
FI,Ähtäri,10,5525,180.995475113122,2021-08-13T11:00:00
FI,Pelkosenniemi,10,931,1074.11385606874,2021-08-13T11:00:00
FI,Miehikkälä,10,1879,532.197977647685,2021-08-13T11:00:00
FI,Pihtipudas,10,3936,254.065040650407,2021-08-13T11:00:00
FI,Rääkkylä,10,2070,483.091787439613,2021-08-13T11:00:00
FI,Sonkajärvi,10,3844,260.145681581686,2021-08-13T11:00:00
FI,Padasjoki,11,2858,384.884534639608,2021-08-13T11:00:00
FI,Kuortane,11,3537,310.998020921685,2021-08-13T11:00:00
FI,Jämijärvi,11,1708,644.028103044497,2021-08-13T11:00:00
FI,Kyyjärvi,11,1293,850.734725444702,2021-08-13T11:00:00
FI,Kaavi,11,2810,391.459074733096,2021-08-13T11:00:00
FI,Paltamo,11,3239,339.610991046619,2021-08-13T11:00:00
FI,Utsjoki,11,1223,899.427636958299,2021-08-13T11:00:00
FI,Pyhäjärvi,11,5038,218.340611353712,2021-08-13T11:00:00
FI,Sulkava,12,2483,483.286347160693,2021-08-13T11:00:00
FI,Puumala,12,2131,563.115908024402,2021-08-13T11:00:00
FI,Utajärvi,12,2624,457.317073170732,2021-08-13T11:00:00
FI,Humppila,13,2177,597.152044097382,2021-08-13T11:00:00
FI,Keitele,14,2158,648.748841519926,2021-08-13T11:00:00
FI,Polvijärvi,14,4205,332.936979785969,2021-08-13T11:00:00
FI,Tohmajärvi,14,4320,324.074074074074,2021-08-13T11:00:00
FI,Lumijoki,14,2036,687.62278978389,2021-08-13T11:00:00
FI,Sysmä,14,3623,386.42009384488,2021-08-13T11:00:00
FI,Kustavi,15,957,1567.39811912226,2021-08-13T11:00:00
FI,Reisjärvi,15,2707,554.11895086812,2021-08-13T11:00:00
FI,Alavieska,15,2518,595.710881652105,2021-08-13T11:00:00
FI,Evijärvi,16,2410,663.900414937759,2021-08-13T11:00:00
FI,Isokyrö,16,4470,357.941834451902,2021-08-13T11:00:00
FI,Ruovesi,16,4219,379.236785968239,2021-08-13T11:00:00
FI,Finström,16,2604,614.439324116743,2021-08-13T11:00:00
FI,Savitaipale,16,3331,480.336235364755,2021-08-13T11:00:00
FI,Lappajärvi,16,2927,546.634779637854,2021-08-13T11:00:00
FI,Hyrynsalmi,16,2200,727.272727272727,2021-08-13T11:00:00
