country,authority,cases,datetime
FR,Mayotte,1,2020-03-15T15:00:00
FR,Saint-Martin,2,2020-03-15T15:00:00
FR,Saint-Barthélémy,3,2020-03-15T15:00:00
FR,Guadeloupe,6,2020-03-15T15:00:00
FR,Guyane,7,2020-03-15T15:00:00
FR,La Réunion,9,2020-03-15T15:00:00
FR,Martinique,15,2020-03-15T15:00:00
FR,Oversea,43,2020-03-15T15:00:00
FR,Centre-Val de Loire,71,2020-03-15T15:00:00
FR,Pays de la Loire,98,2020-03-15T15:00:00
FR,Corse,115,2020-03-15T15:00:00
FR,Normandie,143,2020-03-15T15:00:00
FR,Nouvelle-Aquitaine,144,2020-03-15T15:00:00
FR,Bretagne,207,2020-03-15T15:00:00
FR,Occitanie,243,2020-03-15T15:00:00
FR,Provence-Alpes-Côte d’Azur,330,2020-03-15T15:00:00
FR,Bourgogne-Franche-Comté,412,2020-03-15T15:00:00
FR,Hauts-de-France,507,2020-03-15T15:00:00
FR,Auvergne-Rhône-Alpes,523,2020-03-15T15:00:00
FR,Ile-de-France,1209,2020-03-15T15:00:00
FR,Grand Est,1378,2020-03-15T15:00:00
FR,Metropolis,5380,2020-03-15T15:00:00
FR,sum,5423,2020-03-15T15:00:00
