country,nuts_2,cases,datetime
FR,Saint-Barthélémy,3,2020-03-20T14:00:00
FR,Saint-Martin,4,2020-03-20T14:00:00
FR,Mayotte,7,2020-03-20T14:00:00
FR,Guyane,15,2020-03-20T14:00:00
FR,Martinique,32,2020-03-20T14:00:00
FR,La Réunion,38,2020-03-20T14:00:00
FR,Guadeloupe,51,2020-03-20T14:00:00
FR,Oversea,153,2020-03-20T14:00:00
FR,Corse,168,2020-03-20T14:00:00
FR,Pays de la Loire,190,2020-03-20T14:00:00
FR,Centre-Val de Loire,219,2020-03-20T14:00:00
FR,Normandie,287,2020-03-20T14:00:00
FR,Bretagne,346,2020-03-20T14:00:00
FR,Nouvelle-Aquitaine,432,2020-03-20T14:00:00
FR,Occitanie,537,2020-03-20T14:00:00
FR,Hauts-de-France,759,2020-03-20T14:00:00
FR,Bourgogne-Franche-Comté,770,2020-03-20T14:00:00
FR,Provence-Alpes-Côte d’Azur,826,2020-03-20T14:00:00
FR,Auvergne-Rhône-Alpes,1101,2020-03-20T14:00:00
FR,Grand Est,3006,2020-03-20T14:00:00
FR,Ile-de-France,3818,2020-03-20T14:00:00
FR,Metropolis,12459,2020-03-20T14:00:00
