country,nuts_3,cases,population,deaths,datetime
GR,Cruise Ship,0,0.0,0,2020-11-10T00:00:00
GR,Mount Athos,5,1811.0,0,2020-11-10T00:00:00
GR,Lefkada,29,23693.0,0,2020-11-10T00:00:00
GR,Kefalonia,33,39032.0,0,2020-11-10T00:00:00
GR,Evrytania,34,20081.0,0,2020-11-10T00:00:00
GR,Lasithi,55,75381.0,0,2020-11-10T00:00:00
GR,Zakynthos,65,40759.0,3,2020-11-10T00:00:00
GR,Laconia,81,89138.0,0,2020-11-10T00:00:00
GR,Arta,85,67877.0,2,2020-11-10T00:00:00
GR,Phocis,85,40343.0,0,2020-11-10T00:00:00
GR,Thesprotia,93,43587.0,1,2020-11-10T00:00:00
GR,Grevena,96,31757.0,1,2020-11-10T00:00:00
GR,Rethymno,103,85609.0,0,2020-11-10T00:00:00
GR,Arcadia,114,86685.0,0,2020-11-10T00:00:00
GR,Preveza,114,57491.0,0,2020-11-10T00:00:00
GR,Samos,146,42859.0,0,2020-11-10T00:00:00
GR,Phthiotis,178,158231.0,0,2020-11-10T00:00:00
GR,Chios,185,52674.0,0,2020-11-10T00:00:00
GR,Elis,192,159300.0,2,2020-11-10T00:00:00
GR,Aetolia-Acarnania,226,210802.0,1,2020-11-10T00:00:00
GR,Dodecanese,234,190988.0,0,2020-11-10T00:00:00
GR,Florina,244,51414.0,2,2020-11-10T00:00:00
GR,Euboea,253,210815.0,1,2020-11-10T00:00:00
GR,Corfu (Kerkyra),267,104371.0,3,2020-11-10T00:00:00
GR,Chania,270,156585.0,1,2020-11-10T00:00:00
GR,Boeotia,272,117920.0,0,2020-11-10T00:00:00
GR,Argolis,284,97044.0,0,2020-11-10T00:00:00
GR,Corinthia,312,145082.0,1,2020-11-10T00:00:00
GR,Cyclades,364,118027.0,0,2020-11-10T00:00:00
GR,Messenia,396,159954.0,0,2020-11-10T00:00:00
GR,Karditsa,423,113544.0,1,2020-11-10T00:00:00
GR,Imported (They asked to be tested),519,0.0,0,2020-11-10T00:00:00
GR,Kastoria,531,50322.0,16,2020-11-10T00:00:00
GR,Kilkis,540,80419.0,0,2020-11-10T00:00:00
GR,Herakleion,566,305490.0,2,2020-11-10T00:00:00
GR,Magnesia,592,203808.0,4,2020-11-10T00:00:00
GR,Trikala,622,131085.0,2,2020-11-10T00:00:00
GR,Achaea,625,309694.0,14,2020-11-10T00:00:00
GR,Chalkidiki,670,107719.0,5,2020-11-10T00:00:00
GR,Kavala,714,138687.0,6,2020-11-10T00:00:00
GR,Evros,764,147947.0,22,2020-11-10T00:00:00
GR,Xanthi,793,111222.0,14,2020-11-10T00:00:00
GR,Pieria,795,126698.0,7,2020-11-10T00:00:00
GR,Imathia,820,140611.0,5,2020-11-10T00:00:00
GR,Lesbos,825,103698.0,13,2020-11-10T00:00:00
GR,Rhodope,961,112039.0,3,2020-11-10T00:00:00
GR,Ioannina,1028,167901.0,13,2020-11-10T00:00:00
GR,Kozani,1036,150196.0,30,2020-11-10T00:00:00
GR,Drama,1062,98287.0,7,2020-11-10T00:00:00
GR,Pella,1393,139680.0,11,2020-11-10T00:00:00
GR,Serres,1424,176430.0,19,2020-11-10T00:00:00
GR,Larissa,2033,284325.0,22,2020-11-10T00:00:00
GR,No Location Provided,2198,10816286.0,157,2020-11-10T00:00:00
GR,Imported (Detected at the entry points),3173,0.0,0,2020-11-10T00:00:00
GR,Thessaloniki,11547,1110551.0,161,2020-11-10T00:00:00
GR,Attica,20101,3828434.0,321,2020-11-10T00:00:00
