country,lau,cases,datetime
IE,Leitrim,9297,2021-12-05T00:00:00
IE,Longford,15744,2021-12-05T00:00:00
IE,Sligo,18288,2021-12-05T00:00:00
IE,Roscommon,20433,2021-12-05T00:00:00
IE,Carlow,22869,2021-12-05T00:00:00
IE,Offaly,26370,2021-12-05T00:00:00
IE,Kilkenny,27606,2021-12-05T00:00:00
IE,Laois,28404,2021-12-05T00:00:00
IE,Monaghan,30819,2021-12-05T00:00:00
IE,Westmeath,31893,2021-12-05T00:00:00
IE,Cavan,33477,2021-12-05T00:00:00
IE,Clare,34758,2021-12-05T00:00:00
IE,Wicklow,36957,2021-12-05T00:00:00
IE,Waterford,43173,2021-12-05T00:00:00
IE,Kerry,43515,2021-12-05T00:00:00
IE,Mayo,44112,2021-12-05T00:00:00
IE,Wexford,44406,2021-12-05T00:00:00
IE,Tipperary,46341,2021-12-05T00:00:00
IE,Louth,60672,2021-12-05T00:00:00
IE,Meath,72399,2021-12-05T00:00:00
IE,Limerick,76446,2021-12-05T00:00:00
IE,Kildare,78873,2021-12-05T00:00:00
IE,Donegal,79359,2021-12-05T00:00:00
IE,Galway,80331,2021-12-05T00:00:00
IE,Cork,164631,2021-12-05T00:00:00
IE,Dublin,562986,2021-12-05T00:00:00
