country,city,cases,datetime
NL,Aa en Hunze,0,2020-03-07
NL,Oosterhout,0,2020-03-07
NL,Oost Gelre,0,2020-03-07
NL,Ommen,0,2020-03-07
NL,Olst-Wijhe,0,2020-03-07
NL,Oldenzaal,0,2020-03-07
NL,Oldebroek,0,2020-03-07
NL,Oldambt,0,2020-03-07
NL,Oirschot,0,2020-03-07
NL,Nunspeet,0,2020-03-07
NL,"Nuenen, Gerwen en Nederwetten",0,2020-03-07
NL,Noordwijk,0,2020-03-07
NL,Noordoostpolder,0,2020-03-07
NL,Noordenveld,0,2020-03-07
NL,Noord-Beveland,0,2020-03-07
NL,Noardeast-Fryslân,0,2020-03-07
NL,Ooststellingwerf,0,2020-03-07
NL,Oostzaan,0,2020-03-07
NL,Opmeer,0,2020-03-07
NL,Opsterland,0,2020-03-07
NL,Rijssen-Holten,0,2020-03-07
NL,Rhenen,0,2020-03-07
NL,Rheden,0,2020-03-07
NL,Reusel-De Mierden,0,2020-03-07
NL,Renswoude,0,2020-03-07
NL,Reimerswaal,0,2020-03-07
NL,Raalte,0,2020-03-07
NL,Nissewaard,0,2020-03-07
NL,Putten,0,2020-03-07
NL,Pekela,0,2020-03-07
NL,Peel en Maas,0,2020-03-07
NL,Papendrecht,0,2020-03-07
NL,Overbetuwe,0,2020-03-07
NL,Oudewater,0,2020-03-07
NL,Ouder-Amstel,0,2020-03-07
NL,Oude IJsselstreek,0,2020-03-07
NL,Purmerend,0,2020-03-07
NL,Nijkerk,0,2020-03-07
NL,Nieuwkoop,0,2020-03-07
NL,Nieuwegein,0,2020-03-07
NL,Lopik,0,2020-03-07
NL,Zwolle,0,2020-03-07
NL,Lochem,0,2020-03-07
NL,Lisse,0,2020-03-07
NL,Zoetermeer,0,2020-03-07
NL,Leusden,0,2020-03-07
NL,Leudal,0,2020-03-07
NL,Loppersum,0,2020-03-07
NL,Lelystad,0,2020-03-07
NL,Leiden,0,2020-03-07
NL,Leeuwarden,0,2020-03-07
NL,Laren,0,2020-03-07
NL,Langedijk,0,2020-03-07
NL,Landgraaf,0,2020-03-07
NL,Landerd,0,2020-03-07
NL,Laarbeek,0,2020-03-07
NL,Leiderdorp,0,2020-03-07
NL,Rijswijk,0,2020-03-07
NL,Losser,0,2020-03-07
NL,Maasgouw,0,2020-03-07
NL,Nederweert,0,2020-03-07
NL,Neder-Betuwe,0,2020-03-07
NL,Mook en Middelaar,0,2020-03-07
NL,Montfoort,0,2020-03-07
NL,Montferland,0,2020-03-07
NL,Molenlanden,0,2020-03-07
NL,Moerdijk,0,2020-03-07
NL,Maasdriel,0,2020-03-07
NL,Mill en Sint Hubert,0,2020-03-07
NL,Midden-Drenthe,0,2020-03-07
NL,Midden-Delfland,0,2020-03-07
NL,Middelburg,0,2020-03-07
NL,Meppel,0,2020-03-07
NL,Meerssen,0,2020-03-07
NL,Medemblik,0,2020-03-07
NL,Maassluis,0,2020-03-07
NL,Midden-Groningen,0,2020-03-07
NL,Krimpenerwaard,0,2020-03-07
NL,Roerdalen,0,2020-03-07
NL,Roosendaal,0,2020-03-07
NL,Waddinxveen,0,2020-03-07
NL,Waadhoeke,0,2020-03-07
NL,Vught,0,2020-03-07
NL,Voorst,0,2020-03-07
NL,Voorschoten,0,2020-03-07
NL,Voerendaal,0,2020-03-07
