country,lau,cases,population,cases/100k pop.,datetime
NL,Lisse,0,22800,0.0,2020-03-21T14:00:00
NL,Veendam,0,27491,0.0,2020-03-21T14:00:00
NL,Vaals,0,10092,0.0,2020-03-21T14:00:00
NL,Beemster,0,9748,0.0,2020-03-21T14:00:00
NL,Gorinchem,0,36682,0.0,2020-03-21T14:00:00
NL,Terschelling,0,4890,0.0,2020-03-21T14:00:00
NL,Montfoort,0,13996,0.0,2020-03-21T14:00:00
NL,Stadskanaal,0,31789,0.0,2020-03-21T14:00:00
NL,Borger-Odoorn,0,25372,0.0,2020-03-21T14:00:00
NL,Loppersum,0,9614,0.0,2020-03-21T14:00:00
NL,Schiermonnikoog,0,936,0.0,2020-03-21T14:00:00
NL,Hulst,0,27524,0.0,2020-03-21T14:00:00
NL,Scherpenzeel,0,9873,0.0,2020-03-21T14:00:00
NL,Reusel-De Mierden,0,13060,0.0,2020-03-21T14:00:00
NL,Bunschoten,0,21576,0.0,2020-03-21T14:00:00
NL,Renswoude,0,5259,0.0,2020-03-21T14:00:00
NL,Opmeer,0,11779,0.0,2020-03-21T14:00:00
NL,Dantumadiel,0,18923,0.0,2020-03-21T14:00:00
NL,Ooststellingwerf,0,25497,0.0,2020-03-21T14:00:00
NL,Oldambt,0,38129,0.0,2020-03-21T14:00:00
NL,Delfzijl,0,24716,0.0,2020-03-21T14:00:00
NL,Noord-Beveland,0,7308,0.0,2020-03-21T14:00:00
NL,Zoeterwoude,0,8450,0.0,2020-03-21T14:00:00
NL,Rhenen,0,20004,0.0,2020-03-21T14:00:00
NL,Vlieland,0,1138,0.0,2020-03-21T14:00:00
NL,Laren,0,11195,0.0,2020-03-21T14:00:00
NL,Woensdrecht,0,21866,0.0,2020-03-21T14:00:00
NL,Westerwolde,0,25199,0.0,2020-03-21T14:00:00
NL,Aa en Hunze,0,25386,0.0,2020-03-21T14:00:00
NL,Hendrik-Ido-Ambacht,0,30966,0.0,2020-03-21T14:00:00
NL,Appingedam,0,11721,0.0,2020-03-21T14:00:00
NL,Ameland,0,3673,0.0,2020-03-21T14:00:00
NL,Het Hogeland,0,47888,0.0,2020-03-21T14:00:00
NL,Achtkarspelen,0,27852,0.0,2020-03-21T14:00:00
NL,Wierden,0,24351,0.0,2020-03-21T14:00:00
NL,Waadhoeke,0,46039,0.0,2020-03-21T14:00:00
NL,Baarle-Nassau,1,6847,14.6,2020-03-21T14:00:00
NL,Weststellingwerf,1,25840,3.9,2020-03-21T14:00:00
NL,Zuidplas,1,42762,2.3,2020-03-21T14:00:00
NL,Hattem,1,12173,8.2,2020-03-21T14:00:00
NL,Meppel,1,33564,3.0,2020-03-21T14:00:00
NL,Midden-Drenthe,1,33178,3.0,2020-03-21T14:00:00
NL,Westervoort,1,14944,6.7,2020-03-21T14:00:00
NL,Eemnes,1,9113,11.0,2020-03-21T14:00:00
NL,Aalten,1,27011,3.7,2020-03-21T14:00:00
NL,Winterswijk,1,28903,3.5,2020-03-21T14:00:00
NL,Oirschot,1,18623,5.4,2020-03-21T14:00:00
NL,"Nuenen, Gerwen en Nederwetten",1,23186,4.3,2020-03-21T14:00:00
NL,Montferland,1,36026,2.8,2020-03-21T14:00:00
NL,Noordenveld,1,31290,3.2,2020-03-21T14:00:00
