country,lau,hospitalized,population,hospitalized/100k pop.,deaths,cases,datetime
NL,Stadskanaal,0,31688.0,0.0,,,2020-04-02T17:21:00
NL,Loppersum,0,9533.0,0.0,,,2020-04-02T17:21:00
NL,Ameland,0,3718.0,0.0,,,2020-04-02T17:21:00
NL,Schiermonnikoog,0,947.0,0.0,,,2020-04-02T17:21:00
NL,Noord-Beveland,0,7395.0,0.0,,,2020-04-02T17:21:00
NL,Vlieland,0,1152.0,0.0,,,2020-04-02T17:21:00
NL,Terschelling,0,4889.0,0.0,,,2020-04-02T17:21:00
NL,Scherpenzeel,0,9880.0,0.0,,,2020-04-02T17:21:00
NL,Achtkarspelen,0,27836.0,0.0,,,2020-04-02T17:21:00
NL,Eemnes,1,9247.0,10.8,,,2020-04-02T17:21:00
NL,Drechterland,1,19717.0,5.1,,,2020-04-02T17:21:00
NL,Dantumadiel,1,18916.0,5.3,,,2020-04-02T17:21:00
NL,Bronckhorst,1,36052.0,2.8,,,2020-04-02T17:21:00
NL,Borger-Odoorn,1,25558.0,3.9,,,2020-04-02T17:21:00
NL,Hardinxveld-Giessendam,1,18295.0,5.5,,,2020-04-02T17:21:00
NL,Renswoude,1,5448.0,18.4,,,2020-04-02T17:21:00
NL,Waalre,1,17454.0,5.7,,,2020-04-02T17:21:00
NL,Veendam,1,27387.0,3.7,,,2020-04-02T17:21:00
NL,Aa en Hunze,1,25453.0,3.9,,,2020-04-02T17:21:00
NL,Staphorst,1,17144.0,5.8,,,2020-04-02T17:21:00
NL,Winterswijk,1,28865.0,3.5,,,2020-04-02T17:21:00
NL,Noordenveld,1,31242.0,3.2,,,2020-04-02T17:21:00
NL,Oldambt,1,38213.0,2.6,,,2020-04-02T17:21:00
NL,Ooststellingwerf,1,25472.0,3.9,,,2020-04-02T17:21:00
NL,Opmeer,1,11837.0,8.4,,,2020-04-02T17:21:00
NL,Rozendaal,1,1705.0,58.7,,,2020-04-02T17:21:00
NL,Papendrecht,1,32133.0,3.1,,,2020-04-02T17:21:00
NL,Putten,1,24113.0,4.1,,,2020-04-02T17:21:00
NL,Kapelle,1,12691.0,7.9,,,2020-04-02T17:21:00
NL,Berkelland,1,43748.0,2.3,,,2020-04-02T17:21:00
NL,Harlingen,1,15720.0,6.4,,,2020-04-02T17:21:00
NL,Baarle-Nassau,1,6860.0,14.6,,,2020-04-02T17:21:00
NL,Appingedam,1,11644.0,8.6,,,2020-04-02T17:21:00
NL,Aalten,1,27117.0,3.7,,,2020-04-02T17:21:00
