country,nuts_2,lau,cases,population,deaths,hospitalized,datetime
NL,Drenthe,,43,,0,0,2021-04-22T10:00:00
NL,Fryslân,Vlieland,48,,0,0,2021-04-22T10:00:00
NL,Fryslân,,49,,0,1,2021-04-22T10:00:00
NL,Groningen,,43,,0,1,2021-04-22T10:00:00
NL,Gelderland,Rozendaal,94,,0,1,2021-04-22T10:00:00
NL,Flevoland,,24,,0,1,2021-04-22T10:00:00
NL,Fryslân,Schiermonnikoog,45,,2,1,2021-04-22T10:00:00
NL,Fryslân,Ameland,176,,0,2,2021-04-22T10:00:00
NL,Fryslân,Terschelling,227,,2,3,2021-04-22T10:00:00
NL,Overijssel,,337,,3,4,2021-04-22T10:00:00
NL,Zeeland,,49,,1,4,2021-04-22T10:00:00
NL,Gelderland,Scherpenzeel,953,,12,5,2021-04-22T10:00:00
NL,Noord-Holland,Texel,437,,4,6,2021-04-22T10:00:00
NL,Drenthe,Aa en Hunze,1259,,20,6,2021-04-22T10:00:00
NL,Utrecht,Renswoude,532,,5,7,2021-04-22T10:00:00
NL,Limburg,,325,,3,7,2021-04-22T10:00:00
NL,Utrecht,,157,,2,8,2021-04-22T10:00:00
NL,Noord-Holland,Beemster,812,,3,8,2021-04-22T10:00:00
NL,Noord-Holland,Opmeer,1194,,5,9,2021-04-22T10:00:00
NL,Zuid-Holland,Zoeterwoude,692,,1,9,2021-04-22T10:00:00
NL,Fryslân,Harlingen,693,,3,9,2021-04-22T10:00:00
NL,Gelderland,,445,,3,10,2021-04-22T10:00:00
NL,Limburg,Mook en Middelaar,534,,11,11,2021-04-22T10:00:00
NL,Groningen,Veendam,1632,,10,11,2021-04-22T10:00:00
NL,Zeeland,Kapelle,816,,6,11,2021-04-22T10:00:00
NL,Noord-Holland,Landsmeer,1032,,6,12,2021-04-22T10:00:00
NL,Noord-Brabant,Baarle-Nassau,442,,4,12,2021-04-22T10:00:00
NL,Noord-Holland,Blaricum,866,,6,12,2021-04-22T10:00:00
NL,Noord-Holland,Uitgeest,1165,,7,12,2021-04-22T10:00:00
NL,Fryslân,Dantumadiel,1289,,17,13,2021-04-22T10:00:00
NL,Zeeland,Noord-Beveland,461,,9,14,2021-04-22T10:00:00
