country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,185,76.7,2020-09-07T00:00:00
NO,møre og romsdal,188,70.9,2020-09-07T00:00:00
NO,troms og finnmark,327,134.4,2020-09-07T00:00:00
NO,vestfold og telemark,366,87.3,2020-09-07T00:00:00
NO,agder,419,136.4,2020-09-07T00:00:00
NO,rogaland,555,115.7,2020-09-07T00:00:00
NO,innlandet,589,158.6,2020-09-07T00:00:00
NO,trøndelag,630,134.4,2020-09-07T00:00:00
NO,vestland,1203,189,2020-09-07T00:00:00
NO,viken,3343,269.3,2020-09-07T00:00:00
NO,oslo,3580,516.2,2020-09-07T00:00:00
