country,province,cases,deaths,datetime
PL,podlaskie,3,,2020-03-20T00:00:00
PL,świętokrzyskie,6,,2020-03-20T00:00:00
PL,zachodniopomorskie,9,,2020-03-20T00:00:00
PL,lubuskie,9,,2020-03-20T00:00:00
PL,pomorskie,10,,2020-03-20T00:00:00
PL,opolskie,10,,2020-03-20T00:00:00
PL,małopolskie,13,,2020-03-20T00:00:00
PL,kujawsko-pomorskie,14,,2020-03-20T00:00:00
PL,warmińsko-mazurskie,16,,2020-03-20T00:00:00
PL,wielkopolskie,18,1,2020-03-20T00:00:00
PL,podkarpackie,19,1,2020-03-20T00:00:00
PL,lubelskie,28,1,2020-03-20T00:00:00
PL,śląskie,43,,2020-03-20T00:00:00
PL,łódzkie,48,,2020-03-20T00:00:00
PL,dolnośląskie,58,2,2020-03-20T00:00:00
PL,mazowieckie,107,,2020-03-20T00:00:00
PL,sum,411,5,2020-03-20T00:00:00
