country,nuts_2,cases,deaths,datetime
PL,małopolskie,11011,194,2020-09-29T00:00:00
PL,mazowieckie,12581,444,2020-09-29T00:00:00
PL,warmińsko-mazurskie,1576,15,2020-09-29T00:00:00
PL,zachodniopomorskie,1738,32,2020-09-29T00:00:00
PL,podlaskie,1997,45,2020-09-29T00:00:00
PL,świętokrzyskie,2068,56,2020-09-29T00:00:00
PL,śląskie,22491,549,2020-09-29T00:00:00
PL,opolskie,2325,80,2020-09-29T00:00:00
PL,lubelskie,2606,39,2020-09-29T00:00:00
PL,kujawsko-pomorskie,2607,68,2020-09-29T00:00:00
PL,podkarpackie,3791,129,2020-09-29T00:00:00
PL,pomorskie,4756,80,2020-09-29T00:00:00
PL,dolnośląskie,5094,177,2020-09-29T00:00:00
PL,łódzkie,6664,277,2020-09-29T00:00:00
PL,wielkopolskie,7672,279,2020-09-29T00:00:00
PL,lubuskie,985,19,2020-09-29T00:00:00
