country,nuts_2,cases,datetime
PL,wielkopolskie,1058,2021-01-15T00:00:00
PL,mazowieckie,1231,2021-01-15T00:00:00
PL,świętokrzyskie,164,2021-01-15T00:00:00
PL,podkarpackie,233,2021-01-15T00:00:00
PL,opolskie,235,2021-01-15T00:00:00
PL,lubuskie,288,2021-01-15T00:00:00
PL,podlaskie,291,2021-01-15T00:00:00
PL,małopolskie,337,2021-01-15T00:00:00
PL,lubelskie,403,2021-01-15T00:00:00
PL,dolnośląskie,463,2021-01-15T00:00:00
PL,łódzkie,554,2021-01-15T00:00:00
PL,warmińsko-mazurskie,690,2021-01-15T00:00:00
PL,śląskie,727,2021-01-15T00:00:00
PL,zachodniopomorskie,788,2021-01-15T00:00:00
PL,pomorskie,878,2021-01-15T00:00:00
PL,Cały kraj,9436,2021-01-15T00:00:00
PL,kujawsko-pomorskie,993,2021-01-15T00:00:00
