country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,podkarpackie,106,0.5,10,1996,121,5093,2021-05-02T00:00:00
PL,lubuskie,108,1.07,2,1170,120,3933,2021-05-02T00:00:00
PL,wiêtokrzyskie,126,1.02,9,1310,140,4284,2021-05-02T00:00:00
PL,lubelskie,154,0.73,3,1771,169,7773,2021-05-02T00:00:00
PL,zachodniopomorskie,199,1.18,14,1857,232,7354,2021-05-02T00:00:00
PL,opolskie,211,2.15,3,1561,224,4277,2021-05-02T00:00:00
PL,³ódzkie,235,0.96,8,2244,273,11355,2021-05-02T00:00:00
PL,kujawsko-pomorskie,248,1.2,7,1654,264,7291,2021-05-02T00:00:00
PL,pomorskie,285,1.21,4,2791,314,8368,2021-05-02T00:00:00
PL,wielkopolskie,471,1.35,34,3348,493,17485,2021-05-02T00:00:00
PL,dolnol¹skie,477,1.65,6,3025,510,15598,2021-05-02T00:00:00
PL,ma³opolskie,478,1.4,3,4320,538,13490,2021-05-02T00:00:00
PL,mazowieckie,596,1.1,13,6700,674,24715,2021-05-02T00:00:00
PL,l¹skie,724,1.61,27,4586,777,21201,2021-05-02T00:00:00
PL,podlaskie,73,0.62,1,808,83,2786,2021-05-02T00:00:00
PL,warmiñsko-mazurskie,75,0.53,0,1142,78,3918,2021-05-02T00:00:00
