country,nuts_2,nuts_3,lau,cases,population,datetime
PT,Açores,AÇORES,SÃO ROQUE DO PICO,0,3266,2021-01-09T00:00:00
PT,Algarve,FARO,ALCOUTIM,0,2159,2021-01-09T00:00:00
PT,Alentejo,PORTALEGRE,ARRONCHES,0,2820,2021-01-09T00:00:00
PT,Alentejo,BEJA,BARRANCOS,0,1634,2021-01-09T00:00:00
PT,Açores,AÇORES,SANTA CRUZ DAS FLORES,0,2165,2021-01-09T00:00:00
PT,Açores,AÇORES,LAJES DAS FLORES,0,1463,2021-01-09T00:00:00
PT,Açores,AÇORES,NORDESTE,0,4862,2021-01-09T00:00:00
PT,Açores,AÇORES,CORVO,0,464,2021-01-09T00:00:00
PT,Açores,AÇORES,LAJES DO PICO,0,4490,2021-01-09T00:00:00
PT,Açores,AÇORES,POVOAÇÃO,17,5927,2021-01-09T00:00:00
PT,Açores,AÇORES,VILA DO PORTO,18,5616,2021-01-09T00:00:00
PT,Madeira,MADEIRA,PORTO SANTO,19,5202,2021-01-09T00:00:00
PT,Açores,AÇORES,HORTA,21,14521,2021-01-09T00:00:00
PT,Açores,AÇORES,SANTA CRUZ DA GRACIOSA,24,4208,2021-01-09T00:00:00
PT,Alentejo,BEJA,ALJUSTREL,36,8247,2021-01-09T00:00:00
PT,Madeira,MADEIRA,CALHETA [R.A. MADEIRA],37,10867,2021-01-09T00:00:00
PT,Açores,AÇORES,VELAS,39,5093,2021-01-09T00:00:00
PT,Alentejo,SETÚBAL,SINES,44,13715,2021-01-09T00:00:00
PT,Açores,AÇORES,MADALENA,51,5895,2021-01-09T00:00:00
PT,Açores,AÇORES,VILA DA PRAIA DA VITÓRIA,52,21317,2021-01-09T00:00:00
PT,Algarve,FARO,VILA DO BISPO,58,5154,2021-01-09T00:00:00
PT,Alentejo,BEJA,ALMODÔVAR,59,6725,2021-01-09T00:00:00
PT,Algarve,FARO,CASTRO MARIM,64,6237,2021-01-09T00:00:00
PT,Alentejo,PORTALEGRE,CAMPO MAIOR,64,7874,2021-01-09T00:00:00
PT,Centro,CASTELO BRANCO,PROENÇA-A-NOVA,69,7298,2021-01-09T00:00:00
PT,Algarve,FARO,LAGOA,70,22762,2021-01-09T00:00:00
PT,Madeira,MADEIRA,SÃO VICENTE,78,5143,2021-01-09T00:00:00
PT,Madeira,MADEIRA,PONTA DO SOL,81,8593,2021-01-09T00:00:00
PT,Madeira,MADEIRA,PORTO MONIZ,85,2342,2021-01-09T00:00:00
PT,Norte,BRAGANÇA,CARRAZEDA DE ANSIÃES,88,5666,2021-01-09T00:00:00
PT,Alentejo,BEJA,FERREIRA DO ALENTEJO,89,7845,2021-01-09T00:00:00
PT,Centro,GUARDA,VILA NOVA DE FOZ CÔA,92,6503,2021-01-09T00:00:00
PT,Açores,AÇORES,PONTA DELGADA,94,67935,2021-01-09T00:00:00
PT,Açores,AÇORES,CALHETA [R.A. AÇORES],94,3184,2021-01-09T00:00:00
PT,Alentejo,BEJA,MOURA,102,13718,2021-01-09T00:00:00
PT,Madeira,MADEIRA,RIBEIRA BRAVA,113,12435,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LEIRIA,NAZARÉ,113,14165,2021-01-09T00:00:00
PT,Algarve,FARO,MONCHIQUE,118,5077,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,CHAMUSCA,120,9197,2021-01-09T00:00:00
PT,Centro,GUARDA,ALMEIDA,120,5830,2021-01-09T00:00:00
PT,Alentejo,BEJA,ALVITO,121,2477,2021-01-09T00:00:00
PT,Madeira,MADEIRA,SANTA CRUZ,126,45281,2021-01-09T00:00:00
PT,Alentejo,ÉVORA,REGUENGOS DE MONSARAZ,130,10015,2021-01-09T00:00:00
PT,Norte,BRAGANÇA,TORRE DE MONCORVO,130,7695,2021-01-09T00:00:00
PT,Centro,COIMBRA,GÓIS,131,3805,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,SARDOAL,134,3741,2021-01-09T00:00:00
PT,Alentejo,SETÚBAL,SANTIAGO DO CACÉM,135,28791,2021-01-09T00:00:00
PT,Centro,CASTELO BRANCO,BELMONTE,141,6398,2021-01-09T00:00:00
PT,Açores,AÇORES,ANGRA DO HEROÍSMO,142,33807,2021-01-09T00:00:00
PT,Algarve,FARO,ALJEZUR,143,5594,2021-01-09T00:00:00
PT,Alentejo,BEJA,CASTRO VERDE,144,6949,2021-01-09T00:00:00
PT,Alentejo,PORTALEGRE,PONTE DE SOR,147,14994,2021-01-09T00:00:00
PT,Norte,VIANA DO CASTELO,PAREDES DE COURA,152,8535,2021-01-09T00:00:00
PT,Alentejo,BEJA,OURIQUE,152,4607,2021-01-09T00:00:00
PT,Algarve,FARO,PORTIMÃO,160,55483,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,VILA NOVA DA BARQUINHA,161,7461,2021-01-09T00:00:00
PT,Madeira,MADEIRA,FUNCHAL,162,104024,2021-01-09T00:00:00
PT,Alentejo,BEJA,SERPA,168,14304,2021-01-09T00:00:00
PT,Alentejo,ÉVORA,VILA VIÇOSA,170,7656,2021-01-09T00:00:00
PT,Algarve,FARO,OLHÃO,173,44405,2021-01-09T00:00:00
PT,Alentejo,ÉVORA,REDONDO,173,6353,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,FERREIRA DO ZÊZERE,176,7959,2021-01-09T00:00:00
PT,Algarve,FARO,LAGOS,178,30374,2021-01-09T00:00:00
PT,Madeira,MADEIRA,SANTANA,179,6711,2021-01-09T00:00:00
PT,Centro,GUARDA,FIGUEIRA DE CASTELO RODRIGO,179,5584,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LISBOA,CADAVAL,183,13673,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,ALPIARÇA,184,7059,2021-01-09T00:00:00
PT,Norte,VISEU,RESENDE,187,10137,2021-01-09T00:00:00
PT,Centro,GUARDA,TRANCOSO,192,8875,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,ALMEIRIM,195,22546,2021-01-09T00:00:00
PT,Norte,VIANA DO CASTELO,MELGAÇO,198,8093,2021-01-09T00:00:00
PT,Centro,COIMBRA,PAMPILHOSA DA SERRA,198,4037,2021-01-09T00:00:00
PT,Centro,GUARDA,FORNOS DE ALGODRES,199,4528,2021-01-09T00:00:00
PT,Açores,AÇORES,LAGOA [R.A. AÇORES],204,14721,2021-01-09T00:00:00
PT,Norte,AVEIRO,VALE DE CAMBRA,206,21327,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,LEIRIA,BOMBARRAL,207,12558,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,ABRANTES,211,35130,2021-01-09T00:00:00
PT,Norte,BRAGANÇA,FREIXO DE ESPADA À CINTA,212,3298,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,CORUCHE,218,17471,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,TOMAR,231,36748,2021-01-09T00:00:00
PT,Lisboa e Vale do Tejo,SANTARÉM,CARTAXO,231,23843,2021-01-09T00:00:00
PT,Norte,BRAGANÇA,VINHAIS,232,7746,2021-01-09T00:00:00
