country,lau,cases,population,datetime
PT,VIMIOSO,0,4023,2021-09-29T00:00:00
PT,ALTER DO CHÃO,0,3165,2021-09-29T00:00:00
PT,CALHETA [R.A. AÇORES],0,3184,2021-09-29T00:00:00
PT,CORVO,0,464,2021-09-29T00:00:00
PT,FIGUEIRÓ DOS VINHOS,0,5568,2021-09-29T00:00:00
PT,FREIXO DE ESPADA À CINTA,0,3298,2021-09-29T00:00:00
PT,FRONTEIRA,0,2974,2021-09-29T00:00:00
PT,LAJES DAS FLORES,0,1463,2021-09-29T00:00:00
PT,LAJES DO PICO,0,4490,2021-09-29T00:00:00
PT,MIRANDA DO DOURO,0,6830,2021-09-29T00:00:00
PT,VILA VELHA DE RÓDÃO,0,3144,2021-09-29T00:00:00
PT,OLEIROS,0,5003,2021-09-29T00:00:00
PT,VILA DO PORTO,0,5616,2021-09-29T00:00:00
PT,VILA DE REI,0,3323,2021-09-29T00:00:00
PT,VELAS,0,5093,2021-09-29T00:00:00
PT,SÃO VICENTE,0,5143,2021-09-29T00:00:00
PT,NORDESTE,0,4862,2021-09-29T00:00:00
PT,SANTA CRUZ DAS FLORES,0,2165,2021-09-29T00:00:00
PT,POVOAÇÃO,0,5927,2021-09-29T00:00:00
PT,PORTO SANTO,0,5202,2021-09-29T00:00:00
PT,SÃO JOÃO DA PESQUEIRA,0,7125,2021-09-29T00:00:00
PT,CORUCHE,6,17471,2021-09-29T00:00:00
PT,VIEIRA DO MINHO,8,11842,2021-09-29T00:00:00
PT,SANTA COMBA DÃO,10,10452,2021-09-29T00:00:00
PT,VINHAIS,13,7746,2021-09-29T00:00:00
PT,VILA NOVA DA BARQUINHA,13,7461,2021-09-29T00:00:00
PT,TORRE DE MONCORVO,13,7695,2021-09-29T00:00:00
PT,MACHICO,15,19981,2021-09-29T00:00:00
PT,SANTANA,15,6711,2021-09-29T00:00:00
PT,TABUAÇO,17,6033,2021-09-29T00:00:00
PT,MONÇÃO,17,17869,2021-09-29T00:00:00
PT,ARMAMAR,17,5769,2021-09-29T00:00:00
