country,nuts_3,cases,datetime
Scotland,Borders,12,2020-03-23T00:00:00
Scotland,Highland,12,2020-03-23T00:00:00
Scotland,Dumfries and Galloway,18,2020-03-23T00:00:00
Scotland,Fife,19,2020-03-23T00:00:00
Scotland,Grampian,24,2020-03-23T00:00:00
Scotland,Shetland,24,2020-03-23T00:00:00
Scotland,Ayrshire and Arran,34,2020-03-23T00:00:00
Scotland,Forth Valley,40,2020-03-23T00:00:00
Scotland,Tayside,47,2020-03-23T00:00:00
Scotland,Lanarkshire,58,2020-03-23T00:00:00
Scotland,Lothian,59,2020-03-23T00:00:00
Scotland,Greater Glasgow and Clyde,152,2020-03-23T00:00:00
