country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Lanarkshire,1022,249,27,2020-04-19T00:00:00
Scotland,Tayside,1056,98,6,2020-04-19T00:00:00
Scotland,Lothian,1344,279,29,2020-04-19T00:00:00
Scotland,Greater Glasgow and Clyde,1949,593,62,2020-04-19T00:00:00
Scotland,Highland,197,65,6,2020-04-19T00:00:00
Scotland,Dumfries and Galloway,229,35,5,2020-04-19T00:00:00
Scotland,Borders,237,57,6,2020-04-19T00:00:00
Scotland,Grampian,464,80,13,2020-04-19T00:00:00
Scotland,Orkney,5,,,2020-04-19T00:00:00
Scotland,Forth Valley,509,78,,2020-04-19T00:00:00
Scotland,Shetland,51,,,2020-04-19T00:00:00
Scotland,Fife,532,127,5,2020-04-19T00:00:00
Scotland,Ayrshire and Arran,586,122,10,2020-04-19T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,,2020-04-19T00:00:00
Scotland,Golden Jubilee National Hospital,,10,,2020-04-19T00:00:00
