country,cases,hospitalized,intensive_care,datetime
Scotland,,,,2020-05-03T00:00:00
Scotland,1410,88,,2020-05-03T00:00:00
Scotland,1454,233,8,2020-05-03T00:00:00
Scotland,2089,269,12,2020-05-03T00:00:00
Scotland,250,18,,2020-05-03T00:00:00
Scotland,284,35,,2020-05-03T00:00:00
Scotland,297,41,,2020-05-03T00:00:00
Scotland,2985,526,39,2020-05-03T00:00:00
Scotland,54,,,2020-05-03T00:00:00
Scotland,6,,,2020-05-03T00:00:00
Scotland,7,,,2020-05-03T00:00:00
Scotland,776,123,6,2020-05-03T00:00:00
Scotland,788,66,,2020-05-03T00:00:00
Scotland,799,115,8,2020-05-03T00:00:00
Scotland,898,147,13,2020-05-03T00:00:00
