country,cases,hospitalized,intensive_care,datetime
Scotland,,5,,2020-05-04T00:00:00
Scotland,1411,92,,2020-05-04T00:00:00
Scotland,1492,257,7,2020-05-04T00:00:00
Scotland,2113,327,14,2020-05-04T00:00:00
Scotland,250,21,,2020-05-04T00:00:00
Scotland,284,30,,2020-05-04T00:00:00
Scotland,299,44,,2020-05-04T00:00:00
Scotland,3029,533,39,2020-05-04T00:00:00
Scotland,54,,,2020-05-04T00:00:00
Scotland,6,,,2020-05-04T00:00:00
Scotland,7,,,2020-05-04T00:00:00
Scotland,778,125,6,2020-05-04T00:00:00
Scotland,794,70,6,2020-05-04T00:00:00
Scotland,818,86,6,2020-05-04T00:00:00
Scotland,931,130,13,2020-05-04T00:00:00
