country,cases,intensive_care,datetime
Scotland,,,2020-05-10T00:00:00
Scotland,1050,10,2020-05-10T00:00:00
Scotland,1497,,2020-05-10T00:00:00
Scotland,1660,7,2020-05-10T00:00:00
Scotland,2359,11,2020-05-10T00:00:00
Scotland,255,,2020-05-10T00:00:00
Scotland,286,,2020-05-10T00:00:00
Scotland,320,,2020-05-10T00:00:00
Scotland,3449,29,2020-05-10T00:00:00
Scotland,54,,2020-05-10T00:00:00
Scotland,6,,2020-05-10T00:00:00
Scotland,7,,2020-05-10T00:00:00
Scotland,811,,2020-05-10T00:00:00
Scotland,828,,2020-05-10T00:00:00
Scotland,904,7,2020-05-10T00:00:00
