country,nuts_3,cases,cases/100k pop.,percent,datetime
SE,Gotland,5,8.0,0.0,2020-03-21T13:30:00
SE,Kalmar,10,4.0,1.0,2020-03-21T13:30:00
SE,Blekinge,12,8.0,1.0,2020-03-21T13:30:00
SE,Norrbotten,13,5.0,1.0,2020-03-21T13:30:00
SE,Västernorrland,15,6.0,1.0,2020-03-21T13:30:00
SE,Dalarna,16,6.0,1.0,2020-03-21T13:30:00
SE,Kronoberg,18,9.0,1.0,2020-03-21T13:30:00
SE,Gävleborg,20,7.0,1.0,2020-03-21T13:30:00
SE,Västmanland,21,8.0,1.0,2020-03-21T13:30:00
SE,Västerbotten,29,11.0,2.0,2020-03-21T13:30:00
SE,Jämtland Härjedalen,30,23.0,2.0,2020-03-21T13:30:00
SE,Värmland,37,13.0,2.0,2020-03-21T13:30:00
SE,Örebro,41,13.0,2.0,2020-03-21T13:30:00
SE,Södermanland,47,16.0,3.0,2020-03-21T13:30:00
SE,Jönköping,51,14.0,3.0,2020-03-21T13:30:00
SE,Halland,55,16.0,3.0,2020-03-21T13:30:00
SE,Uppsala,74,19.0,4.0,2020-03-21T13:30:00
SE,Östergötland,126,27.0,7.0,2020-03-21T13:30:00
SE,Skåne,223,16.0,13.0,2020-03-21T13:30:00
SE,Västra Götaland,242,14.0,14.0,2020-03-21T13:30:00
SE,Stockholm,661,28.0,38.0,2020-03-21T13:30:00
