country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,189,316.657165527344,6,6,2020-07-16T00:00:00
SE,Blekinge,476,298.234405517578,14,8,2020-07-16T00:00:00
SE,Kalmar,740,301.491973876953,61,30,2020-07-16T00:00:00
SE,Västerbotten,805,296.243408203125,31,32,2020-07-16T00:00:00
SE,Värmland,1006,356.214630126953,71,31,2020-07-16T00:00:00
SE,Jämtland Härjedalen,1097,838.620910644531,54,18,2020-07-16T00:00:00
SE,Kronoberg,1102,546.982421875,101,23,2020-07-16T00:00:00
SE,Norrbotten,1515,605.774658203125,70,53,2020-07-16T00:00:00
SE,Västernorrland,1636,666.810668945313,122,52,2020-07-16T00:00:00
SE,Halland,1665,498.729949951172,77,37,2020-07-16T00:00:00
SE,Dalarna,1888,655.632934570313,163,65,2020-07-16T00:00:00
SE,Sörmland,2340,786.448852539063,248,132,2020-07-16T00:00:00
SE,Örebro,2447,802.808349609375,170,81,2020-07-16T00:00:00
SE,Västmanland,2547,923.344604492188,175,53,2020-07-16T00:00:00
SE,Gävleborg,3011,1047.734375,149,70,2020-07-16T00:00:00
SE,Skåne,3357,243.644515991211,258,111,2020-07-16T00:00:00
SE,Östergötland,3438,738.568603515625,238,107,2020-07-16T00:00:00
SE,Uppsala,3490,909.533935546875,238,156,2020-07-16T00:00:00
SE,Jönköping,4535,1247.25317382813,177,92,2020-07-16T00:00:00
SE,Västra Götaland,17126,992.304809570313,798,430,2020-07-16T00:00:00
SE,Stockholm,22467,945.150817871094,2372,900,2020-07-16T00:00:00
