country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,8589,14312.962890625,56,35,2022-01-25T00:00:00
SE,Blekinge,21238,13341.4978027344,140,71,2022-01-25T00:00:00
SE,Jämtland Härjedalen,26255,20027.5747070313,132,84,2022-01-25T00:00:00
SE,Kronoberg,37503,18559.7197265625,340,137,2022-01-25T00:00:00
SE,Norrbotten,39212,15702.9880371094,302,235,2022-01-25T00:00:00
SE,Västerbotten,41015,15030.0239257813,208,163,2022-01-25T00:00:00
SE,Kalmar,41363,16819.9409179688,267,116,2022-01-25T00:00:00
SE,Västernorrland,41743,17055.0649414063,490,188,2022-01-25T00:00:00
SE,Värmland,44135,15605.4450683594,235,149,2022-01-25T00:00:00
SE,Dalarna,49833,17318.763671875,381,211,2022-01-25T00:00:00
SE,Sörmland,51546,17236.0314941406,501,418,2022-01-25T00:00:00
SE,Gävleborg,56681,19717.2426757813,585,267,2022-01-25T00:00:00
SE,Västmanland,57014,20596.2739257813,395,144,2022-01-25T00:00:00
SE,Örebro,65226,21352.8608398438,369,245,2022-01-25T00:00:00
SE,Jönköping,69814,19145.5009765625,581,376,2022-01-25T00:00:00
SE,Uppsala,70408,18185.53515625,574,441,2022-01-25T00:00:00
SE,Östergötland,72274,15482.041015625,677,389,2022-01-25T00:00:00
SE,Halland,82869,24642.0979003906,348,195,2022-01-25T00:00:00
SE,Skåne,272100,19627.2543945313,1899,740,2022-01-25T00:00:00
SE,Västra Götaland,334938,19332.4252929688,2586,1525,2022-01-25T00:00:00
SE,Stockholm,489729,20505.3583984375,4702,2398,2022-01-25T00:00:00
