country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Northern Ireland,122477,6467.7,0.0,0.0,2426230.0,2021-05-27T00:00:00
UK,North East,195238,7312.4,8337.0,312.3,0.0,2021-05-27T00:00:00
UK,Wales,212725,6747.0,0.0,0.0,3591339.0,2021-05-27T00:00:00
UK,South West,223036,3965.3,9248.0,164.4,0.0,2021-05-27T00:00:00
UK,Scotland,234701,4296.0,0.0,0.0,6317500.0,2021-05-27T00:00:00
UK,East Midlands,333347,6893.1,13892.0,287.3,0.0,2021-05-27T00:00:00
UK,East of England,393183,6305.0,17862.0,286.4,0.0,2021-05-27T00:00:00
UK,Yorkshire and The Humber,401896,7303.3,15112.0,274.6,0.0,2021-05-27T00:00:00
UK,West Midlands,433590,7306.8,18440.0,310.7,0.0,2021-05-27T00:00:00
UK,South East,544844,5935.0,23489.0,255.9,0.0,2021-05-27T00:00:00
UK,North West,620524,8452.6,24781.0,337.6,0.0,2021-05-27T00:00:00
UK,London,727367,8116.1,20272.0,226.2,0.0,2021-05-27T00:00:00
