country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,datetime
UK,Northern Ireland,311141,16414.6,0.0,0.0,2021-11-24T00:00:00
UK,North East,466973,17419.4,0.0,0.0,2021-11-24T00:00:00
UK,Wales,502165,15843.2,0.0,0.0,2021-11-24T00:00:00
UK,Scotland,718435,13143.7,0.0,0.0,2021-11-24T00:00:00
UK,South West,725946,12827.8,0.0,0.0,2021-11-24T00:00:00
UK,East Midlands,758691,15593.0,0.0,0.0,2021-11-24T00:00:00
UK,East of England,864895,13796.0,0.0,0.0,2021-11-24T00:00:00
UK,Yorkshire and The Humber,909402,16455.7,0.0,0.0,2021-11-24T00:00:00
UK,West Midlands,926948,15547.8,0.0,0.0,2021-11-24T00:00:00
UK,South East,1252607,13589.8,0.0,0.0,2021-11-24T00:00:00
UK,London,1276787,14182.6,0.0,0.0,2021-11-24T00:00:00
UK,North West,1290902,17521.7,0.0,0.0,2021-11-24T00:00:00
