country,nuts_3,cases,datetime
Wales,Denbighshire County Council,0,2020-03-17T11:00:00
Wales,Gwynedd Council,0,2020-03-17T11:00:00
Wales,Merthyr Tydfil County Borough Council,0,2020-03-17T11:00:00
Wales,Vale of Glamorgan Council,1,2020-03-17T11:00:00
Wales,Ceredigion County Council,1,2020-03-17T11:00:00
Wales,Conwy County Borough Council,1,2020-03-17T11:00:00
Wales,Flintshire County Council,1,2020-03-17T11:00:00
Wales,Neath Port Talbot Council,11,2020-03-17T11:00:00
Wales,,136,2020-03-17T11:00:00
Wales,City of Cardiff Council,14,2020-03-17T11:00:00
Wales,Caerphilly County Borough Council,15,2020-03-17T11:00:00
Wales,Wrexham County Borough Council,2,2020-03-17T11:00:00
Wales,Rhondda Cynon Taf County Borough Council,2,2020-03-17T11:00:00
Wales,Pembrokeshire County Council,2,2020-03-17T11:00:00
Wales,Isle of Anglesey County Council,2,2020-03-17T11:00:00
Wales,Resident outside Wales,2,2020-03-17T11:00:00
Wales,City and County of Swansea,22,2020-03-17T11:00:00
Wales,Newport City Council,24,2020-03-17T11:00:00
Wales,Torfaen County Borough Council,3,2020-03-17T11:00:00
Wales,Bridgend County Borough Council,3,2020-03-17T11:00:00
Wales,Powys County Council,7,2020-03-17T11:00:00
Wales,Carmarthenshire County Council,7,2020-03-17T11:00:00
Wales,Monmouthshire County Council,8,2020-03-17T11:00:00
Wales,Blaenau Gwent County Borough Council,8,2020-03-17T11:00:00
