"DATE","PROVINCE","REGION","NR_REPORTING","TOTAL_IN","TOTAL_IN_ICU","NEW_IN","NEW_IN_ICU","TOTAL_IN_RESP","TOTAL_IN_ECMO"
2020-03-06,"Luxembourg","Wallonia",1,1,0,0,0,0,0
2020-03-07,"Antwerpen","Flanders",1,0,0,0,0,0,0
2020-03-08,"Antwerpen","Flanders",1,0,0,0,0,0,0
2020-03-09,"Antwerpen","Flanders",1,0,0,0,0,0,0
2020-03-09,"Luxembourg","Wallonia",1,1,0,1,1,0,0
2020-03-09,"OostVlaanderen","Flanders",1,0,0,0,0,0,0
2020-03-10,"Antwerpen","Flanders",2,0,0,0,0,0,0
2020-03-10,"Brussels","Brussels",4,4,0,0,0,1,0
2020-03-10,"Liège","Wallonia",2,0,0,0,0,0,0
2020-03-10,"Namur","Wallonia",1,0,0,0,0,0,0
2020-03-10,"OostVlaanderen","Flanders",1,3,0,0,0,0,0
2020-03-10,"WestVlaanderen","Flanders",1,0,0,0,0,0,0
2020-03-11,"Antwerpen","Flanders",10,1,0,1,1,0,0
2020-03-11,"BrabantWallon","Wallonia",3,0,0,0,0,0,0
2020-03-11,"Brussels","Brussels",9,3,0,0,0,0,0
2020-03-11,"Hainaut","Wallonia",6,5,1,4,4,1,0
2020-03-11,"Limburg","Flanders",3,0,0,0,0,0,0
2020-03-11,"Liège","Wallonia",6,0,0,0,0,0,0
2020-03-11,"Luxembourg","Wallonia",2,0,0,0,0,0,0
2020-03-11,"Namur","Wallonia",3,1,0,1,1,0,0
2020-03-11,"OostVlaanderen","Flanders",12,1,0,0,0,0,0
2020-03-11,"VlaamsBrabant","Flanders",4,1,0,0,0,0,0
2020-03-11,"WestVlaanderen","Flanders",7,2,1,1,1,0,0
2020-03-12,"Antwerpen","Flanders",10,17,5,3,3,2,0
2020-03-12,"BrabantWallon","Wallonia",5,2,2,1,1,1,0
2020-03-12,"Brussels","Brussels",12,24,5,4,4,5,0
2020-03-12,"Hainaut","Wallonia",7,2,1,2,2,1,0
2020-03-12,"Limburg","Flanders",5,1,0,2,2,2,0
2020-03-12,"Liège","Wallonia",10,6,0,0,0,0,0
2020-03-12,"Luxembourg","Wallonia",3,1,0,0,0,0,0
2020-03-12,"Namur","Wallonia",4,4,0,5,5,0,0
2020-03-12,"OostVlaanderen","Flanders",14,3,1,7,7,5,0
2020-03-12,"VlaamsBrabant","Flanders",5,1,0,1,1,0,0
2020-03-12,"WestVlaanderen","Flanders",8,3,1,1,1,1,0
2020-03-13,"Antwerpen","Flanders",14,28,8,16,16,3,0
2020-03-13,"BrabantWallon","Wallonia",3,3,3,1,1,3,0
2020-03-13,"Brussels","Brussels",9,35,6,19,19,6,0
2020-03-13,"Hainaut","Wallonia",12,6,2,3,3,2,0
2020-03-13,"Limburg","Flanders",7,5,0,4,4,0,0
2020-03-13,"Liège","Wallonia",7,2,1,1,1,0,0
2020-03-13,"Luxembourg","Wallonia",3,1,0,0,0,0,0
2020-03-13,"Namur","Wallonia",6,2,1,0,0,0,0
2020-03-13,"OostVlaanderen","Flanders",14,6,2,8,8,8,0
2020-03-13,"VlaamsBrabant","Flanders",6,7,0,5,5,0,0
2020-03-13,"WestVlaanderen","Flanders",11,6,3,4,4,1,0
2020-03-14,"Antwerpen","Flanders",11,33,9,9,9,6,0
2020-03-14,"BrabantWallon","Wallonia",2,3,2,1,1,2,0
2020-03-14,"Brussels","Brussels",13,52,10,10,10,7,0
2020-03-14,"Hainaut","Wallonia",13,35,5,12,12,5,0
2020-03-14,"Limburg","Flanders",6,11,2,8,8,2,0
2020-03-14,"Liège","Wallonia",8,13,0,3,3,0,0
2020-03-14,"Luxembourg","Wallonia",2,2,0,0,0,0,0
2020-03-14,"Namur","Wallonia",5,3,1,1,1,1,0
2020-03-14,"OostVlaanderen","Flanders",13,10,3,2,2,1,0
2020-03-14,"VlaamsBrabant","Flanders",6,11,1,5,5,0,0
2020-03-14,"WestVlaanderen","Flanders",10,11,2,5,5,1,0
2020-03-15,"Antwerpen","Flanders",14,50,9,7,7,4,0
2020-03-15,"BrabantWallon","Wallonia",2,5,2,1,1,2,0
2020-03-15,"Brussels","Brussels",15,58,11,7,7,8,0
2020-03-15,"Hainaut","Wallonia",14,54,12,26,26,10,1
2020-03-15,"Limburg","Flanders",7,20,6,9,9,3,0
2020-03-15,"Liège","Wallonia",12,22,2,4,4,1,0
2020-03-15,"Luxembourg","Wallonia",3,4,0,3,3,0,0
2020-03-15,"Namur","Wallonia",6,2,1,0,0,1,0
2020-03-15,"OostVlaanderen","Flanders",14,16,5,5,5,1,0
2020-03-15,"VlaamsBrabant","Flanders",6,13,2,2,2,0,0
2020-03-15,"WestVlaanderen","Flanders",11,19,3,6,6,1,0
2020-03-16,"Antwerpen","Flanders",14,63,12,10,10,5,0
