"YEAR_WEEK","NIS5","AGEGROUP","DOSE","CUMUL"
"20W53",11024,"55-64","A","<10"
"20W53",12007,"18-34","A","<10"
"20W53",12007,"45-54","A","<10"
"20W53",12007,"55-64","A","<10"
"20W53",12007,"85+","A","<10"
"20W53",12014,"45-54","A","<10"
"20W53",12041,"18-34","A","<10"
"20W53",12041,"45-54","A","<10"
"20W53",12041,"55-64","A","<10"
"20W53",12041,"65-74","A","10"
"20W53",12041,"75-84","A","23"
"20W53",12041,"85+","A","62"
"20W53",13016,"75-84","A","<10"
"20W53",13021,"45-54","A","<10"
"20W53",21003,"18-34","A","<10"
"20W53",21003,"85+","A","<10"
"20W53",21005,"18-34","A","<10"
"20W53",21007,"75-84","A","<10"
"20W53",21009,"65-74","A","<10"
"20W53",21010,"85+","A","<10"
"20W53",21018,"55-64","A","<10"
"20W53",21018,"65-74","A","<10"
"20W53",21018,"75-84","A","<10"
"20W53",21018,"85+","A","<10"
"20W53",21019,"45-54","A","<10"
"20W53",21019,"55-64","A","<10"
"20W53",21019,"65-74","A","<10"
"20W53",21019,"75-84","A","<10"
"20W53",21019,"85+","A","39"
"20W53",23025,"45-54","A","<10"
"20W53",23027,"55-64","A","<10"
"20W53",23038,"18-34","A","<10"
"20W53",23038,"85+","A","<10"
"20W53",23045,"18-34","A","<10"
"20W53",23045,"85+","A","<10"
"20W53",23062,"18-34","A","<10"
"20W53",23088,"35-44","A","<10"
"20W53",23094,"65-74","A","<10"
"20W53",23094,"75-84","A","<10"
"20W53",23099,"85+","A","<10"
"20W53",23103,"18-34","A","<10"
"20W53",23103,"65-74","A","<10"
"20W53",23103,"75-84","A","10"
"20W53",23103,"85+","A","34"
"20W53",24001,"35-44","A","<10"
"20W53",24001,"45-54","A","<10"
"20W53",24001,"55-64","A","<10"
"20W53",24007,"18-34","A","<10"
"20W53",24008,"45-54","A","<10"
"20W53",24008,"55-64","A","<10"
"20W53",24011,"35-44","A","<10"
"20W53",24011,"75-84","A","<10"
"20W53",24011,"85+","A","<10"
"20W53",24016,"35-44","A","<10"
"20W53",24016,"45-54","A","<10"
"20W53",24016,"75-84","A","<10"
"20W53",24016,"85+","A","<10"
"20W53",24020,"45-54","A","<10"
"20W53",24033,"45-54","A","<10"
"20W53",24033,"55-64","A","<10"
"20W53",24038,"35-44","A","<10"
"20W53",24038,"65-74","A","<10"
"20W53",24038,"75-84","A","<10"
"20W53",24038,"85+","A","<10"
"20W53",24041,"18-34","A","<10"
"20W53",24043,"55-64","A","<10"
"20W53",24043,"85+","A","<10"
"20W53",24045,"55-64","A","<10"
"20W53",24055,"75-84","A","<10"
"20W53",24062,"18-34","A","<10"
"20W53",24062,"35-44","A","<10"
"20W53",24062,"45-54","A","<10"
"20W53",24062,"55-64","A","17"
"20W53",24062,"65-74","A","27"
"20W53",24062,"75-84","A","31"
"20W53",24062,"85+","A","83"
"20W53",24066,"18-34","A","<10"
"20W53",24066,"65-74","A","<10"
"20W53",24066,"75-84","A","10"
"20W53",24066,"85+","A","30"
"20W53",24086,"18-34","A","<10"
"20W53",24086,"35-44","A","<10"
"20W53",24086,"45-54","A","<10"
"20W53",24086,"85+","A","<10"
"20W53",24094,"18-34","A","<10"
"20W53",24094,"35-44","A","<10"
"20W53",24094,"45-54","A","<10"
"20W53",24094,"55-64","A","<10"
"20W53",24094,"65-74","A","<10"
"20W53",24094,"75-84","A","20"
"20W53",24094,"85+","A","86"
"20W53",24104,"75-84","A","<10"
"20W53",24104,"85+","A","<10"
"20W53",24107,"18-34","A","<10"
"20W53",24107,"35-44","A","<10"
"20W53",24107,"45-54","A","<10"
"20W53",24107,"55-64","A","<10"
"20W53",24109,"18-34","A","<10"
"20W53",24109,"35-44","A","<10"
"20W53",24109,"85+","A","<10"
"20W53",24133,"55-64","A","<10"
"20W53",24134,"75-84","A","<10"
