"REGION","AGEGROUP","SEX","DOSE","TOT"
"BXL","25_34","F","B",8
"BXL","25_34","M","B",7
"BXL","35_44","F","B",12
"BXL","35_44","M","B",19
"BXL","45_54","F","A",9
"BXL","45_54","F","B",41
"BXL","45_54","M","A",16
"BXL","45_54","M","B",67
"BXL","45_54","M","C",9
"BXL","45_54","M","E",5
"BXL","55_64","F","A",27
"BXL","55_64","F","B",101
"BXL","55_64","F","C",7
"BXL","55_64","M","A",39
"BXL","55_64","M","B",171
"BXL","55_64","M","C",10
"BXL","55_64","M","E",13
"BXL","65_74","F","A",40
"BXL","65_74","F","B",191
"BXL","65_74","F","C",17
"BXL","65_74","F","E",32
"BXL","65_74","M","A",65
"BXL","65_74","M","B",299
"BXL","65_74","M","C",23
"BXL","65_74","M","E",54
"BXL","75_84","F","A",85
"BXL","75_84","F","B",374
"BXL","75_84","F","C",41
"BXL","75_84","F","E",76
"BXL","75_84","M","A",100
"BXL","75_84","M","B",434
"BXL","75_84","M","C",44
"BXL","75_84","M","E",87
"BXL","85+","F","A",182
"BXL","85+","F","B",1009
"BXL","85+","F","C",84
"BXL","85+","F","E",247
"BXL","85+","M","A",114
"BXL","85+","M","B",497
"BXL","85+","M","C",50
"BXL","85+","M","E",130
"FLA","12_17","M","B",10
"FLA","18_24","F","B",21
"FLA","18_24","M","B",24
"FLA","25_34","F","A",11
"FLA","25_34","F","B",33
"FLA","25_34","M","A",21
"FLA","25_34","M","B",97
"FLA","35_44","F","A",12
"FLA","35_44","F","B",98
"FLA","35_44","F","C",13
"FLA","35_44","M","A",34
"FLA","35_44","M","B",153
"FLA","35_44","M","C",21
"FLA","35_44","M","E",6
"FLA","45_54","F","A",57
"FLA","45_54","F","B",218
"FLA","45_54","F","C",26
"FLA","45_54","F","E",27
"FLA","45_54","M","A",98
"FLA","45_54","M","B",336
"FLA","45_54","M","C",51
"FLA","45_54","M","E",34
"FLA","55_64","F","A",180
"FLA","55_64","F","B",571
"FLA","55_64","F","C",51
"FLA","55_64","F","E",105
"FLA","55_64","M","A",303
"FLA","55_64","M","B",1034
"FLA","55_64","M","C",85
"FLA","55_64","M","E",148
"FLA","65_74","F","A",398
"FLA","65_74","F","B",1407
"FLA","65_74","F","C",108
"FLA","65_74","F","E",332
"FLA","65_74","M","A",664
"FLA","65_74","M","B",2340
"FLA","65_74","M","C",151
"FLA","65_74","M","E",520
"FLA","75_84","F","A",690
"FLA","75_84","F","B",3410
"FLA","75_84","F","C",189
"FLA","75_84","F","E",929
"FLA","75_84","M","A",974
"FLA","75_84","M","B",4326
"FLA","75_84","M","C",211
"FLA","75_84","M","E",1186
"FLA","85+","F","A",1630
"FLA","85+","F","B",8421
"FLA","85+","F","C",395
"FLA","85+","F","E",3070
"FLA","85+","M","A",1371
"FLA","85+","M","B",5025
"FLA","85+","M","C",339
"FLA","85+","M","E",1923
"GER","55_64","F","B",13
"GER","55_64","M","B",16
"GER","65_74","F","B",19
"GER","65_74","M","A",6
"GER","65_74","M","B",43
"GER","75_84","F","A",10
"GER","75_84","F","B",47
"GER","75_84","F","E",6
"GER","75_84","M","A",12
"GER","75_84","M","B",53
"GER","75_84","M","E",11
"GER","85+","F","A",18
"GER","85+","F","B",101
"GER","85+","F","E",21
"GER","85+","M","A",14
"GER","85+","M","B",58
"GER","85+","M","E",10
"UNK","55_64","M","B",8
"UNK","65_74","M","B",10
"UNK","75_84","M","A",5
"UNK","75_84","M","B",10
"WAL","18_24","F","B",10
"WAL","18_24","M","A",5
"WAL","18_24","M","B",20
"WAL","25_34","F","A",5
"WAL","25_34","F","B",20
"WAL","25_34","M","A",11
"WAL","25_34","M","B",41
"WAL","35_44","F","A",14
"WAL","35_44","F","B",58
"WAL","35_44","F","C",6
"WAL","35_44","M","A",19
"WAL","35_44","M","B",104
"WAL","35_44","M","C",12
"WAL","45_54","F","A",47
"WAL","45_54","F","B",173
"WAL","45_54","F","C",22
"WAL","45_54","F","E",19
"WAL","45_54","M","A",80
"WAL","45_54","M","B",276
"WAL","45_54","M","C",36
"WAL","45_54","M","E",18
"WAL","55_64","F","A",103
"WAL","55_64","F","B",424
"WAL","55_64","F","C",47
"WAL","55_64","F","E",55
"WAL","55_64","M","A",200
"WAL","55_64","M","B",711
"WAL","55_64","M","C",83
"WAL","55_64","M","E",108
"WAL","65_74","F","A",295
"WAL","65_74","F","B",957
"WAL","65_74","F","C",110
"WAL","65_74","F","E",163
"WAL","65_74","M","A",447
"WAL","65_74","M","B",1499
"WAL","65_74","M","C",128
"WAL","65_74","M","E",299
"WAL","75_84","F","A",425
"WAL","75_84","F","B",1664
"WAL","75_84","F","C",147
"WAL","75_84","F","E",373
"WAL","75_84","M","A",542
"WAL","75_84","M","B",1806
"WAL","75_84","M","C",148
"WAL","75_84","M","E",443
"WAL","85+","F","A",854
"WAL","85+","F","B",4039
"WAL","85+","F","C",329
"WAL","85+","F","E",1065
"WAL","85+","M","A",565
"WAL","85+","M","B",1985
"WAL","85+","M","C",202
"WAL","85+","M","E",522
