EPCI;Metropole;Code postal;Code Département;Code Région;Nom département;Nom région
243300316;Bordeaux;33000;33;75;Gironde;Nouvelle-Aquitaine
242900314;Brest;29200;29;53;Finistère;Bretagne
246300701;Clermont-Auvergne;63000;63;84;Puy-de-Dôme;Auvergne-Rhône-Alpes
242100410;Dijon;21000;21;27;Côte-d'Or;Bourgogne-Franche-Comté
200040715;Grenoble;38000;38;84;Isère;Auvergne-Rhône-Alpes
245900410;Lille;59000;59;32;Nord;Hauts-de-France
200046977;Lyon;69001;69;84;Rhône;Auvergne-Rhône-Alpes
200054807;Marseille;13001;13;93;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur
200039865;Metz;57000;57;44;Moselle;Grand Est
243400017;Montpellier;34000;34;76;Hérault;Occitanie
245400676;Nancy;54000;54;44;Meurthe-et-Moselle;Grand Est
244400404;Nantes;44000;44;52;Loire-Atlantique;Pays de la Loire
200030195;Nice;06000;06;93;Alpes-Maritimes;Provence-Alpes-Côte d'Azur
244500468;Orléans;45000;45;24;Loiret;Centre-Val de Loire
200054781;Paris;75001;75;11;Paris;Ile-de-France
243500139;Rennes;35000;35;53;Ille-et-Vilaine;Bretagne
200023414;Rouen;76000;76;28;Seine-Maritime;Normandie
244200770;Saint Etienne;42000;42;84;Loire;Auvergne-Rhône-Alpes
246700488;Strasbourg;67000;67;44;Bas-Rhin;Grand Est
248300543;Toulon;83000;83;93;Var;Provence-Alpes-Côte d'Azur
243100518;Toulouse;31000;31;76;Haute-Garonne;Occitanie
243700754;Tours;37000;37;24;Indre-et-Loire;Centre-Val de Loire
